Month,SeasonalValue,PercentageDistribution
1,0.7708,8.8741
2,2.2927,9.9418
3,-1.8784,7.0156
4,-0.6196,7.8986
5,-0.4639,8.0079
6,-0.7029,7.8402
7,0.7191,8.8378
8,0.4747,8.6664
9,-0.0955,8.2664
10,0.2861,8.5340
11,-0.0582,8.2925
12,-0.7249,7.8248
