Month,SeasonalValue,PercentageDistribution
1,-3.8819,6.0227
2,3.3111,10.3042
3,3.4427,10.3825
4,-1.1056,7.6753
5,-4.0003,5.9522
6,4.0063,10.7179
7,-1.1389,7.6554
8,-1.5771,7.3946
9,0.7321,8.7691
10,-0.2394,8.1909
11,0.9427,8.8944
12,-0.4916,8.0407
