Month,SeasonalValue,PercentageDistribution
1,0.0387,8.3642
2,0.5650,8.7846
3,-0.4350,7.9860
4,0.0913,8.4063
5,-0.0139,8.3222
6,0.3019,8.5744
7,-0.0003,8.3331
8,0.1593,8.4606
9,0.0190,8.3485
10,-0.3823,8.0280
11,0.0913,8.4063
12,-0.4350,7.9860
