Month,SeasonalValue,PercentageDistribution
1,-3.2178,6.8667
2,-0.5665,8.0751
3,-8.2836,4.5578
4,-2.5818,7.1566
5,1.8765,9.1886
6,0.4686,8.5469
7,0.5536,8.5857
8,0.6309,8.6209
9,2.9138,9.6614
10,8.6462,12.2741
11,0.6945,8.6499
12,-1.1345,7.8163
