Month,SeasonalValue,PercentageDistribution
1,-0.8941,7.6494
2,-0.8941,7.6494
3,-0.8941,7.6494
4,5.1586,12.2793
5,3.7375,11.1923
6,-0.8941,7.6494
7,-0.8495,7.6835
8,-0.8941,7.6494
9,-0.8941,7.6494
10,-0.8941,7.6494
11,-0.8941,7.6494
12,-0.8941,7.6494
