Month,SeasonalValue,PercentageDistribution
1,1.2836,9.0939
2,3.6937,10.5218
3,-1.2317,7.6035
4,-3.2800,6.3900
5,-3.3633,6.3406
6,-2.1243,7.0747
7,5.8847,11.8199
8,-1.5124,7.4372
9,3.4634,10.3854
10,1.7376,9.3628
11,-0.4861,8.0453
12,-4.0651,5.9248
