Date,Presupuesto Base Cero
1985-03,61
1985-04,51
1985-05,39
1985-06,46
1985-07,56
1985-08,34
1985-09,74
1985-10,53
1985-11,48
1985-12,81
1986-01,139
1986-02,39
1986-03,79
1986-04,45
1986-05,55
1986-06,78
1986-07,54
1986-08,39
1986-09,70
1986-10,60
1986-11,50
1986-12,94
1987-01,188
1987-02,56
1987-03,85
1987-04,74
1987-05,67
1987-06,62
1987-07,82
1987-08,81
1987-09,76
1987-10,72
1987-11,45
1987-12,84
1988-01,216
1988-02,74
1988-03,92
1988-04,58
1988-05,49
1988-06,129
1988-07,89
1988-08,76
1988-09,114
1988-10,64
1988-11,49
1988-12,120
1989-01,227
1989-02,74
1989-03,104
1989-04,70
1989-05,74
1989-06,93
1989-07,87
1989-08,97
1989-09,146
1989-10,72
1989-11,45
1989-12,147
1990-01,289
1990-02,73
1990-03,107
1990-04,81
1990-05,130
1990-06,116
1990-07,93
1990-08,114
1990-09,132
1990-10,84
1990-11,74
1990-12,99
1991-01,264
1991-02,73
1991-03,120
1991-04,112
1991-05,92
1991-06,136
1991-07,105
1991-08,120
1991-09,162
1991-10,97
1991-11,73
1991-12,102
1992-01,233
1992-02,71
1992-03,138
1992-04,130
1992-05,98
1992-06,179
1992-07,136
1992-08,148
1992-09,152
1992-10,138
1992-11,96
1992-12,140
1993-01,254
1993-02,109
1993-03,164
1993-04,163
1993-05,117
1993-06,195
1993-07,148
1993-08,136
1993-09,182
1993-10,159
1993-11,92
1993-12,141
1994-01,282
1994-02,109
1994-03,201
1994-04,113
1994-05,153
1994-06,149
1994-07,117
1994-08,141
1994-09,193
1994-10,154
1994-11,124
1994-12,161
1995-01,260
1995-02,95
1995-03,192
1995-04,124
1995-05,139
1995-06,210
1995-07,148
1995-08,116
1995-09,246
1995-10,187
1995-11,119
1995-12,167
1996-01,359
1996-02,108
1996-03,271
1996-04,146
1996-05,154
1996-06,254
1996-07,181
1996-08,117
1996-09,198
1996-10,186
1996-11,138
1996-12,206
1997-01,328
1997-02,165
1997-03,177
1997-04,191
1997-05,186
1997-06,238
1997-07,219
1997-08,181
1997-09,274
1997-10,180
1997-11,164
1997-12,201
1998-01,377
1998-02,136
1998-03,266
1998-04,176
1998-05,177
1998-06,271
1998-07,252
1998-08,181
1998-09,241
1998-10,233
1998-11,186
1998-12,214
1999-01,349
1999-02,142
1999-03,256
1999-04,195
1999-05,206
1999-06,297
1999-07,268
1999-08,273
1999-09,312
1999-10,185
1999-11,230
1999-12,214
2000-01,477
2000-02,160
2000-03,315
2000-04,237
2000-05,228
2000-06,304
2000-07,264
2000-08,189
2000-09,286
2000-10,261
2000-11,240
2000-12,255
2001-01,481
2001-02,162
2001-03,322
2001-04,240
2001-05,276
2001-06,335
2001-07,266
2001-08,282
2001-09,368
2001-10,370
2001-11,252
2001-12,290
2002-01,628
2002-02,237
2002-03,332
2002-04,271
2002-05,278
2002-06,299
2002-07,325
2002-08,255
2002-09,406
2002-10,294
2002-11,251
2002-12,331
2003-01,632
2003-02,259
2003-03,431
2003-04,301
2003-05,304
2003-06,497
2003-07,277
2003-08,294
2003-09,666
2003-10,334
2003-11,272
2003-12,354
2004-01,621
2004-02,298
2004-03,449
2004-04,412
2004-05,420
2004-06,554
2004-07,387
2004-08,428
2004-09,546
2004-10,461
2004-11,350
2004-12,372
2005-01,733
2005-02,404
2005-03,415
2005-04,423
2005-05,463
2005-06,550
2005-07,420
2005-08,396
2005-09,482
2005-10,507
2005-11,449
2005-12,482
2006-01,931
2006-02,436
2006-03,612
2006-04,477
2006-05,619
2006-06,943
2006-07,966
2006-08,872
2006-09,762
2006-10,1405
2006-11,877
2006-12,777
2007-01,1076
2007-02,587
2007-03,864
2007-04,841
2007-05,1030
2007-06,1086
2007-07,990
2007-08,1137
2007-09,1255
2007-10,946
2007-11,1013
2007-12,1081
2008-01,1042
2008-02,568
2008-03,839
2008-04,1084
2008-05,926
2008-06,1482
2008-07,1754
2008-08,969
2008-09,1386
2008-10,1891
2008-11,1135
2008-12,1840
2009-01,1216
2009-02,798
2009-03,1068
2009-04,1131
2009-05,1490
2009-06,1807
2009-07,1553
2009-08,1692
2009-09,1879
2009-10,1471
2009-11,1369
2009-12,2091
2010-01,1473
2010-02,814
2010-03,1481
2010-04,1102
2010-05,1878
2010-06,3026
2010-07,2334
2010-08,2661
2010-09,1743
2010-10,3391
2010-11,1813
2010-12,2216
2011-01,2003
2011-02,1207
2011-03,1441
2011-04,1767
2011-05,2381
2011-06,2755
2011-07,2612
2011-08,2934
2011-09,3204
2011-10,2346
2011-11,1881
2011-12,2145
2012-01,2291
2012-02,1369
2012-03,1655
2012-04,1372
2012-05,2413
2012-06,2380
2012-07,2539
2012-08,2136
2012-09,2487
2012-10,2622
2012-11,2199
2012-12,3136
2013-01,2141
2013-02,1383
2013-03,1723
2013-04,1585
2013-05,2152
2013-06,2668
2013-07,2573
2013-08,2608
2013-09,3057
2013-10,2960
2013-11,2580
2013-12,2758
2014-01,2176
2014-02,1804
2014-03,2171
2014-04,2042
2014-05,2814
2014-06,3296
2014-07,2835
2014-08,2607
2014-09,3146
2014-10,3335
2014-11,2428
2014-12,3210
2015-01,2435
2015-02,1687
2015-03,2380
2015-04,2089
2015-05,2742
2015-06,2941
2015-07,2827
2015-08,2562
2015-09,3025
2015-10,3077
2015-11,2885
2015-12,3453
2016-01,2612
2016-02,1737
2016-03,2382
2016-04,2492
2016-05,3223
2016-06,3365
2016-07,3636
2016-08,2850
2016-09,3332
2016-10,3891
2016-11,2889
2016-12,3419
2017-01,2696
2017-02,1927
2017-03,3036
2017-04,2539
2017-05,3857
2017-06,3210
2017-07,4473
2017-08,3319
2017-09,3433
2017-10,4070
2017-11,3359
2017-12,4208
2018-01,3185
2018-02,2515
2018-03,3115
2018-04,3006
2018-05,3629
2018-06,4439
2018-07,4528
2018-08,3992
2018-09,3944
2018-10,4993
2018-11,4051
2018-12,4197
2019-01,3276
2019-02,2789
2019-03,3936
2019-04,3506
2019-05,3829
2019-06,4867
2019-07,5099
2019-08,4220
2019-09,4504
2019-10,5581
2019-11,5216
2019-12,5519
2020-01,4156
2020-02,3517
2020-03,4066
2020-04,3697
2020-05,3727
2020-06,4951
2020-07,5178
2020-08,4683
2020-09,5284
2020-10,6378
2020-11,6108
2020-12,6789
2021-01,5533
2021-02,4026
2021-03,5208
2021-04,4768
2021-05,5783
2021-06,5637
2021-07,5946
2021-08,5084
2021-09,6014
2021-10,7480
2021-11,6018
2021-12,7268
2022-01,5599
2022-02,4188
2022-03,5252
2022-04,5217
2022-05,5786
2022-06,6411
2022-07,6757
2022-08,6693
2022-09,6776
2022-10,7494
2022-11,7641
2022-12,9709
2023-01,6130
2023-02,5287
2023-03,6043
2023-04,5940
2023-05,7536
2023-06,7063
2023-07,7199
2023-08,6906
2023-09,7267
2023-10,8425
2023-11,8167
2023-12,10412
2024-01,6884
2024-02,5539
2024-03,6711
2024-04,6744
2024-05,8977
2024-06,7386
2024-07,7943
2024-08,7150
2024-09,7255
2024-10,8155
2024-11,7468
2024-12,8436
2025-01,5932
2025-02,4470
