Date,Estrategias de Crecimiento
1950-01,26
1950-02,15
1950-03,21
1950-04,29
1950-05,13
1950-06,27
1950-07,28
1950-08,18
1950-09,27
1950-10,26
1950-11,21
1950-12,36
1951-01,31
1951-02,24
1951-03,30
1951-04,22
1951-05,24
1951-06,24
1951-07,34
1951-08,16
1951-09,30
1951-10,33
1951-11,28
1951-12,32
1952-01,52
1952-02,32
1952-03,32
1952-04,28
1952-05,27
1952-06,26
1952-07,30
1952-08,23
1952-09,36
1952-10,24
1952-11,32
1952-12,54
1953-01,55
1953-02,19
1953-03,42
1953-04,33
1953-05,35
1953-06,40
1953-07,42
1953-08,26
1953-09,35
1953-10,38
1953-11,41
1953-12,65
1954-01,50
1954-02,25
1954-03,61
1954-04,34
1954-05,29
1954-06,27
1954-07,37
1954-08,16
1954-09,42
1954-10,37
1954-11,32
1954-12,85
1955-01,56
1955-02,28
1955-03,33
1955-04,30
1955-05,30
1955-06,27
1955-07,38
1955-08,30
1955-09,36
1955-10,37
1955-11,28
1955-12,93
1956-01,49
1956-02,30
1956-03,30
1956-04,31
1956-05,45
1956-06,42
1956-07,42
1956-08,30
1956-09,43
1956-10,44
1956-11,21
1956-12,76
1957-01,56
1957-02,34
1957-03,46
1957-04,37
1957-05,44
1957-06,29
1957-07,33
1957-08,27
1957-09,41
1957-10,64
1957-11,35
1957-12,70
1958-01,45
1958-02,31
1958-03,51
1958-04,51
1958-05,28
1958-06,46
1958-07,50
1958-08,38
1958-09,46
1958-10,51
1958-11,48
1958-12,65
1959-01,78
1959-02,35
1959-03,47
1959-04,64
1959-05,44
1959-06,45
1959-07,59
1959-08,44
1959-09,67
1959-10,52
1959-11,45
1959-12,156
1960-01,80
1960-02,42
1960-03,60
1960-04,58
1960-05,63
1960-06,48
1960-07,55
1960-08,44
1960-09,47
1960-10,50
1960-11,47
1960-12,150
1961-01,90
1961-02,45
1961-03,79
1961-04,57
1961-05,56
1961-06,61
1961-07,71
1961-08,42
1961-09,69
1961-10,61
1961-11,53
1961-12,125
1962-01,99
1962-02,62
1962-03,91
1962-04,71
1962-05,69
1962-06,72
1962-07,70
1962-08,36
1962-09,71
1962-10,77
1962-11,77
1962-12,153
1963-01,138
1963-02,52
1963-03,101
1963-04,69
1963-05,75
1963-06,76
1963-07,61
1963-08,47
1963-09,102
1963-10,71
1963-11,65
1963-12,226
1964-01,122
1964-02,70
1964-03,83
1964-04,76
1964-05,65
1964-06,82
1964-07,63
1964-08,61
1964-09,109
1964-10,71
1964-11,65
1964-12,209
1965-01,140
1965-02,90
1965-03,103
1965-04,88
1965-05,99
1965-06,79
1965-07,83
1965-08,62
1965-09,90
1965-10,95
1965-11,85
1965-12,169
1966-01,122
1966-02,76
1966-03,106
1966-04,91
1966-05,88
1966-06,82
1966-07,80
1966-08,64
1966-09,99
1966-10,106
1966-11,90
1966-12,205
1967-01,160
1967-02,78
1967-03,88
1967-04,100
1967-05,82
1967-06,94
1967-07,114
1967-08,91
1967-09,105
1967-10,125
1967-11,63
1967-12,282
1968-01,399
1968-02,100
1968-03,129
1968-04,122
1968-05,87
1968-06,123
1968-07,121
1968-08,112
1968-09,124
1968-10,121
1968-11,88
1968-12,202
1969-01,174
1969-02,150
1969-03,141
1969-04,133
1969-05,85
1969-06,151
1969-07,130
1969-08,107
1969-09,122
1969-10,123
1969-11,110
1969-12,288
1970-01,758
1970-02,133
1970-03,153
1970-04,126
1970-05,107
1970-06,123
1970-07,142
1970-08,81
1970-09,160
1970-10,158
1970-11,121
1970-12,270
1971-01,272
1971-02,132
1971-03,155
1971-04,152
1971-05,169
1971-06,154
1971-07,135
1971-08,136
1971-09,154
1971-10,175
1971-11,128
1971-12,370
1972-01,275
1972-02,137
1972-03,168
1972-04,185
1972-05,260
1972-06,164
1972-07,161
1972-08,141
1972-09,184
1972-10,169
1972-11,122
1972-12,305
1973-01,292
1973-02,133
1973-03,207
1973-04,179
1973-05,114
1973-06,182
1973-07,182
1973-08,128
1973-09,217
1973-10,195
1973-11,147
1973-12,267
1974-01,297
1974-02,178
1974-03,196
1974-04,203
1974-05,153
1974-06,187
1974-07,196
1974-08,166
1974-09,191
1974-10,327
1974-11,184
1974-12,402
1975-01,320
1975-02,130
1975-03,223
1975-04,206
1975-05,170
1975-06,190
1975-07,197
1975-08,212
1975-09,173
1975-10,248
1975-11,130
1975-12,390
1976-01,429
1976-02,163
1976-03,216
1976-04,234
1976-05,159
1976-06,222
1976-07,192
1976-08,168
1976-09,181
1976-10,277
1976-11,169
1976-12,332
1977-01,432
1977-02,135
1977-03,241
1977-04,239
1977-05,163
1977-06,204
1977-07,208
1977-08,186
1977-09,230
1977-10,202
1977-11,176
1977-12,451
1978-01,498
1978-02,149
1978-03,220
1978-04,246
1978-05,165
1978-06,266
1978-07,181
1978-08,200
1978-09,184
1978-10,225
1978-11,197
1978-12,367
1979-01,517
1979-02,207
1979-03,259
1979-04,216
1979-05,166
1979-06,221
1979-07,197
1979-08,185
1979-09,270
1979-10,261
1979-11,171
1979-12,278
1980-01,577
1980-02,185
1980-03,293
1980-04,287
1980-05,188
1980-06,278
1980-07,251
1980-08,209
1980-09,244
1980-10,261
1980-11,218
1980-12,326
1981-01,613
1981-02,209
1981-03,281
1981-04,402
1981-05,194
1981-06,263
1981-07,248
1981-08,181
1981-09,257
1981-10,275
1981-11,209
1981-12,411
1982-01,561
1982-02,237
1982-03,259
1982-04,301
1982-05,188
1982-06,341
1982-07,223
1982-08,197
1982-09,310
1982-10,264
1982-11,205
1982-12,369
1983-01,730
1983-02,221
1983-03,283
1983-04,328
1983-05,173
1983-06,291
1983-07,298
1983-08,246
1983-09,258
1983-10,280
1983-11,229
1983-12,560
1984-01,739
1984-02,234
1984-03,309
1984-04,306
1984-05,239
1984-06,341
1984-07,286
1984-08,300
