Date,Lealtad del Cliente
1950-01,122
1950-02,43
1950-03,90
1950-04,91
1950-05,57
1950-06,104
1950-07,88
1950-08,66
1950-09,121
1950-10,106
1950-11,56
1950-12,157
1951-01,151
1951-02,77
1951-03,108
1951-04,103
1951-05,72
1951-06,96
1951-07,84
1951-08,88
1951-09,121
1951-10,100
1951-11,87
1951-12,183
1952-01,140
1952-02,64
1952-03,104
1952-04,113
1952-05,84
1952-06,128
1952-07,124
1952-08,70
1952-09,102
1952-10,101
1952-11,112
1952-12,231
1953-01,192
1953-02,81
1953-03,118
1953-04,143
1953-05,117
1953-06,124
1953-07,116
1953-08,72
1953-09,111
1953-10,118
1953-11,83
1953-12,174
1954-01,188
1954-02,103
1954-03,119
1954-04,148
1954-05,114
1954-06,137
1954-07,131
1954-08,100
1954-09,145
1954-10,161
1954-11,110
1954-12,266
1955-01,216
1955-02,134
1955-03,171
1955-04,164
1955-05,114
1955-06,139
1955-07,134
1955-08,110
1955-09,151
1955-10,150
1955-11,108
1955-12,227
1956-01,203
1956-02,99
1956-03,155
1956-04,158
1956-05,112
1956-06,144
1956-07,120
1956-08,103
1956-09,160
1956-10,160
1956-11,133
1956-12,250
1957-01,238
1957-02,147
1957-03,170
1957-04,165
1957-05,136
1957-06,167
1957-07,170
1957-08,137
1957-09,167
1957-10,170
1957-11,136
1957-12,300
1958-01,236
1958-02,134
1958-03,186
1958-04,168
1958-05,118
1958-06,173
1958-07,164
1958-08,134
1958-09,196
1958-10,175
1958-11,154
1958-12,316
1959-01,263
1959-02,119
1959-03,221
1959-04,208
1959-05,122
1959-06,186
1959-07,175
1959-08,149
1959-09,194
1959-10,168
1959-11,161
1959-12,355
1960-01,288
1960-02,127
1960-03,216
1960-04,187
1960-05,130
1960-06,213
1960-07,203
1960-08,140
1960-09,205
1960-10,167
1960-11,164
1960-12,378
1961-01,279
1961-02,142
1961-03,208
1961-04,203
1961-05,155
1961-06,206
1961-07,263
1961-08,259
1961-09,247
1961-10,197
1961-11,229
1961-12,358
1962-01,266
1962-02,159
1962-03,230
1962-04,191
1962-05,139
1962-06,252
1962-07,258
1962-08,192
1962-09,247
1962-10,223
1962-11,242
1962-12,443
1963-01,342
1963-02,238
1963-03,304
1963-04,248
1963-05,194
1963-06,265
1963-07,238
1963-08,203
1963-09,270
1963-10,258
1963-11,279
1963-12,480
1964-01,353
1964-02,224
1964-03,286
1964-04,248
1964-05,231
1964-06,284
1964-07,227
1964-08,215
1964-09,289
1964-10,272
1964-11,315
1964-12,493
1965-01,419
1965-02,274
1965-03,322
1965-04,298
1965-05,276
1965-06,327
1965-07,280
1965-08,236
1965-09,364
1965-10,345
1965-11,342
1965-12,611
1966-01,508
1966-02,267
1966-03,292
1966-04,320
1966-05,325
1966-06,353
1966-07,307
1966-08,239
1966-09,316
1966-10,304
1966-11,362
1966-12,649
1967-01,551
1967-02,360
1967-03,394
1967-04,337
1967-05,324
1967-06,380
1967-07,317
1967-08,296
1967-09,353
1967-10,310
1967-11,338
1967-12,606
1968-01,519
1968-02,327
1968-03,366
1968-04,384
1968-05,340
1968-06,349
1968-07,348
1968-08,326
1968-09,391
1968-10,341
1968-11,350
1968-12,646
1969-01,577
1969-02,350
1969-03,363
1969-04,327
1969-05,287
1969-06,350
1969-07,335
1969-08,319
1969-09,412
1969-10,364
1969-11,326
1969-12,1359
1970-01,1171
1970-02,318
1970-03,366
1970-04,358
1970-05,349
1970-06,376
1970-07,399
1970-08,395
1970-09,464
1970-10,420
1970-11,357
1970-12,816
1971-01,787
1971-02,439
1971-03,450
1971-04,402
1971-05,404
1971-06,443
1971-07,419
1971-08,453
1971-09,494
1971-10,412
1971-11,388
1971-12,962
1972-01,874
1972-02,398
1972-03,509
1972-04,499
1972-05,433
1972-06,532
1972-07,570
1972-08,522
1972-09,561
1972-10,504
1972-11,422
1972-12,1038
1973-01,1006
1973-02,537
1973-03,513
1973-04,488
1973-05,501
1973-06,523
1973-07,554
1973-08,578
1973-09,579
1973-10,492
1973-11,506
1973-12,1048
1974-01,991
1974-02,568
1974-03,585
1974-04,540
1974-05,610
1974-06,587
1974-07,599
1974-08,694
1974-09,655
1974-10,566
1974-11,566
1974-12,1169
1975-01,1076
1975-02,593
1975-03,694
1975-04,595
1975-05,602
1975-06,662
1975-07,691
1975-08,698
1975-09,618
1975-10,543
1975-11,603
1975-12,1716
1976-01,1582
1976-02,583
1976-03,755
1976-04,701
1976-05,647
1976-06,742
1976-07,717
1976-08,694
1976-09,774
1976-10,664
1976-11,642
1976-12,1993
1977-01,1893
1977-02,707
1977-03,858
1977-04,763
1977-05,672
1977-06,769
1977-07,750
1977-08,713
1977-09,788
1977-10,696
1977-11,671
1977-12,2026
1978-01,1874
1978-02,731
1978-03,887
1978-04,758
1978-05,676
1978-06,827
1978-07,788
1978-08,695
1978-09,825
1978-10,795
1978-11,706
1978-12,2089
1979-01,2022
1979-02,802
1979-03,899
1979-04,729
1979-05,765
1979-06,874
1979-07,775
1979-08,790
1979-09,857
1979-10,784
1979-11,769
1979-12,2791
1980-01,2637
1980-02,911
1980-03,1101
1980-04,878
1980-05,806
1980-06,964
1980-07,846
1980-08,807
1980-09,979
1980-10,843
1980-11,808
1980-12,3143
1981-01,2957
1981-02,935
1981-03,1128
1981-04,885
1981-05,814
1981-06,1025
1981-07,957
1981-08,955
1981-09,1045
1981-10,830
1981-11,831
1981-12,3407
1982-01,3180
1982-02,966
1982-03,1158
1982-04,961
1982-05,1028
1982-06,1217
1982-07,924
1982-08,927
1982-09,1092
1982-10,885
1982-11,941
1982-12,3819
1983-01,3594
1983-02,1080
1983-03,1250
1983-04,1002
1983-05,1071
1983-06,1220
1983-07,1044
1983-08,1116
1983-09,1173
1983-10,962
1983-11,1054
1983-12,4219
1984-01,4109
1984-02,1252
1984-03,1360
1984-04,1051
1984-05,1190
1984-06,1369
1984-07,1120
1984-08,1145
1984-09,1272
1984-10,1056
1984-11,1166
1984-12,4537
1985-01,4287
1985-02,1259
1985-03,1412
1985-04,1209
1985-05,1179
1985-06,1328
1985-07,1143
1985-08,1209
1985-09,1337
1985-10,1061
1985-11,1236
1985-12,5170
1986-01,4822
1986-02,1291
1986-03,1447
1986-04,1231
1986-05,1274
1986-06,1367
1986-07,1171
1986-08,1313
1986-09,1468
1986-10,1175
1986-11,1326
1986-12,5077
1987-01,4837
1987-02,1474
1987-03,1706
1987-04,1345
1987-05,1440
1987-06,1619
1987-07,1311
1987-08,1552
1987-09,1564
1987-10,1218
1987-11,1402
1987-12,6137
1988-01,5897
1988-02,1586
1988-03,1717
1988-04,1343
1988-05,1455
1988-06,1567
1988-07,1372
1988-08,1486
1988-09,1512
1988-10,1314
1988-11,1515
1988-12,6120
1989-01,5752
1989-02,1830
1989-03,1933
1989-04,1507
1989-05,1628
1989-06,1689
1989-07,1530
1989-08,1863
1989-09,1842
1989-10,1368
1989-11,1481
1989-12,6900
1990-01,6632
1990-02,1970
1990-03,2190
1990-04,1760
