Year,Planificación de Escenarios
1993-01,44.0
1999-01,28.0
2000-01,21.5
2004-01,54.0
2006-01,69.0
2008-01,42.0
2010-01,30.0
2012-01,27.0
2014-01,18.0
2017-01,19.0
2022-01,19.0
