Date,Experiencia del Cliente
1987-01,4779
1987-02,1446
1987-03,1688
1987-04,1329
1987-05,1428
1987-06,1604
1987-07,1297
1987-08,1536
1987-09,1552
1987-10,1214
1987-11,1393
1987-12,6073
1988-01,5832
1988-02,1556
1988-03,1696
1988-04,1325
1988-05,1426
1988-06,1551
1988-07,1355
1988-08,1471
1988-09,1481
1988-10,1279
1988-11,1499
1988-12,6022
1989-01,5679
1989-02,1801
1989-03,1899
1989-04,1478
1989-05,1598
1989-06,1667
1989-07,1512
1989-08,1835
1989-09,1816
1989-10,1343
1989-11,1455
1989-12,6828
1990-01,6562
1990-02,1951
1990-03,2163
1990-04,1733
1990-05,1885
1990-06,1981
1990-07,1610
1990-08,1879
1990-09,2026
1990-10,1421
1990-11,1648
1990-12,7132
1991-01,6729
1991-02,1902
1991-03,2341
1991-04,1942
1991-05,1890
1991-06,1969
1991-07,0
1991-08,1918
1991-09,2170
1991-10,1635
1991-11,1766
1991-12,6442
1992-01,6101
1992-02,2232
1992-03,2443
1992-04,1992
1992-05,2252
1992-06,2242
1992-07,1775
1992-08,2184
1992-09,2354
1992-10,1877
1992-11,2037
1992-12,7696
1993-01,7177
1993-02,2219
1993-03,2510
1993-04,2254
1993-05,2373
1993-06,2348
1993-07,2008
1993-08,2446
1993-09,2502
1993-10,1842
1993-11,0
1993-12,8807
1994-01,8194
1994-02,2501
1994-03,2650
1994-04,2019
1994-05,2550
1994-06,2609
1994-07,2095
1994-08,2470
1994-09,2647
1994-10,2122
1994-11,2479
1994-12,9690
1995-01,9024
1995-02,2666
1995-03,2825
1995-04,2342
1995-05,2812
1995-06,2853
1995-07,2313
1995-08,2775
1995-09,3023
1995-10,2517
1995-11,2719
1995-12,9490
1996-01,9004
1996-02,2932
1996-03,3211
1996-04,2560
1996-05,2968
1996-06,3216
1996-07,2641
1996-08,2817
1996-09,3085
1996-10,2597
1996-11,2908
1996-12,11115
1997-01,10602
1997-02,3153
1997-03,3296
1997-04,2726
1997-05,3207
1997-06,3450
1997-07,2726
1997-08,2912
1997-09,3183
1997-10,2675
1997-11,3029
1997-12,11280
1998-01,10691
1998-02,3263
1998-03,3728
1998-04,2859
1998-05,3147
1998-06,3609
1998-07,2942
1998-08,3241
1998-09,3381
1998-10,2795
1998-11,3203
1998-12,12517
1999-01,11677
1999-02,3431
1999-03,3770
1999-04,3082
1999-05,3383
1999-06,3627
1999-07,3151
1999-08,3659
1999-09,3693
1999-10,3268
1999-11,3548
1999-12,14410
2000-01,13508
2000-02,3604
2000-03,4244
2000-04,3367
2000-05,3559
2000-06,4022
2000-07,3356
2000-08,3701
2000-09,3904
2000-10,3603
2000-11,3681
2000-12,14953
2001-01,13982
2001-02,3544
2001-03,4489
2001-04,3457
2001-05,4098
2001-06,4016
2001-07,3497
2001-08,3910
2001-09,4166
2001-10,4177
2001-11,3853
2001-12,16058
2002-01,14923
2002-02,3859
2002-03,4361
2002-04,3659
2002-05,4330
2002-06,4149
2002-07,3724
2002-08,4194
2002-09,4758
2002-10,3949
2002-11,4421
2002-12,17611
2003-01,16502
2003-02,4266
2003-03,4654
2003-04,3665
2003-05,3891
2003-06,4669
2003-07,4028
2003-08,4503
2003-09,5409
2003-10,4069
2003-11,4425
2003-12,19084
2004-01,18139
2004-02,4750
2004-03,5408
2004-04,4417
2004-05,4730
2004-06,5867
2004-07,4765
2004-08,5145
2004-09,5093
2004-10,4551
2004-11,5045
2004-12,18633
2005-01,17073
2005-02,4833
2005-03,5465
2005-04,4616
2005-05,5196
2005-06,5892
2005-07,4958
2005-08,5392
2005-09,5526
2005-10,4933
2005-11,5585
2005-12,22078
2006-01,21228
2006-02,4996
2006-03,5929
2006-04,5222
2006-05,5751
2006-06,6721
2006-07,5753
2006-08,6500
2006-09,6622
2006-10,6202
2006-11,6493
2006-12,20386
2007-01,19461
2007-02,5601
2007-03,6672
2007-04,5636
2007-05,7187
2007-06,7301
2007-07,6904
2007-08,7342
2007-09,6449
2007-10,6373
2007-11,7968
2007-12,24672
2008-01,22298
2008-02,5739
2008-03,6754
2008-04,6500
2008-05,6663
2008-06,7367
2008-07,6806
2008-08,7312
2008-09,8776
2008-10,7691
2008-11,8063
2008-12,28201
2009-01,25577
2009-02,6826
2009-03,7247
2009-04,6853
2009-05,6978
2009-06,7789
2009-07,7327
2009-08,10179
2009-09,10418
2009-10,7442
2009-11,8406
2009-12,30294
2010-01,0
2010-02,0
2010-03,8234
2010-04,7251
2010-05,8637
2010-06,0
2010-07,10145
2010-08,9721
2010-09,9063
2010-10,10064
2010-11,10108
2010-12,31893
2011-01,29936
2011-02,7291
2011-03,8221
2011-04,9534
2011-05,10371
2011-06,0
2011-07,10703
2011-08,13237
2011-09,11150
2011-10,9761
2011-11,9893
2011-12,32188
2012-01,33707
2012-02,8465
2012-03,9571
2012-04,9044
2012-05,10481
2012-06,14512
2012-07,11613
2012-08,8859
2012-09,11309
2012-10,10819
2012-11,11030
2012-12,43491
2013-01,41031
2013-02,8589
2013-03,9689
2013-04,8807
2013-05,10086
2013-06,12248
2013-07,10036
2013-08,9330
2013-09,0
2013-10,12117
2013-11,11384
2013-12,43467
2014-01,41719
2014-02,8944
2014-03,10479
2014-04,10049
2014-05,10922
2014-06,10907
2014-07,10383
2014-08,10642
2014-09,11968
2014-10,12338
2014-11,12050
2014-12,49602
2015-01,49442
2015-02,9114
2015-03,11014
2015-04,10218
2015-05,11583
2015-06,12030
2015-07,9539
2015-08,10039
2015-09,11528
2015-10,12629
2015-11,11589
2015-12,54409
2016-01,51853
2016-02,10322
2016-03,11918
2016-04,12537
2016-05,11944
2016-06,13301
2016-07,10648
2016-08,11622
2016-09,14165
2016-10,13093
2016-11,13518
2016-12,52464
2017-01,49346
2017-02,11354
2017-03,13449
2017-04,11498
2017-05,14021
2017-06,14694
2017-07,17417
