Date,Propósito y Visión
1987-12,183
1988-01,510
1988-02,246
1988-03,221
1988-04,179
1988-05,155
1988-06,165
1988-07,163
1988-08,158
1988-09,194
1988-10,178
1988-11,142
1988-12,254
1989-01,562
1989-02,136
1989-03,361
1989-04,223
1989-05,154
1989-06,176
1989-07,201
1989-08,175
1989-09,190
1989-10,209
1989-11,133
1989-12,303
1990-01,579
1990-02,213
1990-03,339
1990-04,206
1990-05,167
1990-06,177
1990-07,223
1990-08,380
1990-09,193
1990-10,241
1990-11,138
1990-12,234
1991-01,676
1991-02,245
1991-03,292
1991-04,211
1991-05,133
1991-06,246
1991-07,181
1991-08,178
1991-09,305
1991-10,217
1991-11,127
1991-12,295
1992-01,455
1992-02,316
1992-03,502
1992-04,286
1992-05,196
1992-06,262
1992-07,280
1992-08,263
1992-09,286
1992-10,236
1992-11,379
1992-12,342
1993-01,539
1993-02,193
1993-03,363
1993-04,303
1993-05,287
1993-06,300
1993-07,253
1993-08,391
1993-09,366
1993-10,254
1993-11,207
1993-12,528
1994-01,596
1994-02,217
1994-03,391
1994-04,279
1994-05,237
1994-06,342
1994-07,307
1994-08,343
1994-09,336
1994-10,421
1994-11,253
1994-12,777
1995-01,657
1995-02,220
1995-03,335
1995-04,289
1995-05,279
1995-06,333
1995-07,280
1995-08,262
1995-09,348
1995-10,1794
1995-11,243
1995-12,890
1996-01,644
1996-02,312
1996-03,409
1996-04,372
1996-05,305
1996-06,382
1996-07,366
1996-08,342
1996-09,307
1996-10,449
1996-11,258
1996-12,510
1997-01,582
1997-02,329
1997-03,385
1997-04,336
1997-05,233
1997-06,425
1997-07,343
1997-08,330
1997-09,436
1997-10,344
1997-11,242
1997-12,438
1998-01,667
1998-02,250
1998-03,347
1998-04,372
1998-05,290
1998-06,341
1998-07,421
1998-08,298
1998-09,425
1998-10,421
1998-11,333
1998-12,506
1999-01,590
1999-02,259
1999-03,454
1999-04,364
1999-05,320
1999-06,429
1999-07,385
1999-08,385
1999-09,420
1999-10,387
1999-11,327
1999-12,498
2000-01,758
2000-02,269
2000-03,445
2000-04,384
2000-05,291
2000-06,505
2000-07,433
2000-08,332
2000-09,370
2000-10,456
2000-11,302
2000-12,922
2001-01,666
2001-02,307
2001-03,408
2001-04,422
2001-05,308
2001-06,462
2001-07,447
2001-08,352
2001-09,456
2001-10,478
2001-11,369
2001-12,1031
2002-01,905
2002-02,316
2002-03,462
2002-04,459
2002-05,327
2002-06,476
2002-07,407
2002-08,378
2002-09,517
2002-10,389
2002-11,313
2002-12,1158
2003-01,631
2003-02,348
2003-03,508
2003-04,489
2003-05,413
2003-06,604
2003-07,407
2003-08,390
2003-09,654
2003-10,492
2003-11,435
2003-12,568
2004-01,851
2004-02,338
2004-03,494
2004-04,449
2004-05,433
2004-06,629
2004-07,528
2004-08,1414
2004-09,539
2004-10,700
2004-11,472
2004-12,625
2005-01,1030
2005-02,416
2005-03,531
2005-04,478
2005-05,427
2005-06,764
2005-07,500
2005-08,465
2005-09,975
2005-10,669
2005-11,467
2005-12,858
2006-01,1086
2006-02,492
2006-03,639
2006-04,642
2006-05,540
2006-06,767
2006-07,651
2006-08,596
2006-09,633
2006-10,846
2006-11,533
2006-12,710
2007-01,955
2007-02,617
2007-03,647
2007-04,643
2007-05,693
2007-06,1442
2007-07,667
2007-08,720
2007-09,784
2007-10,796
2007-11,678
2007-12,1055
2008-01,1176
2008-02,542
2008-03,617
2008-04,655
2008-05,873
2008-06,1558
2008-07,739
2008-08,624
2008-09,871
2008-10,758
2008-11,739
2008-12,1616
2009-01,1004
2009-02,742
2009-03,755
2009-04,670
2009-05,864
2009-06,1989
2009-07,845
2009-08,831
2009-09,1574
2009-10,1008
2009-11,771
2009-12,1103
2010-01,1196
2010-02,666
2010-03,8127
2010-04,1136
2010-05,734
2010-06,1699
2010-07,974
2010-08,2299
2010-09,1292
2010-10,1083
2010-11,1065
2010-12,1694
2011-01,1633
2011-02,800
2011-03,999
2011-04,901
2011-05,1061
2011-06,1077
2011-07,869
2011-08,965
2011-09,2606
2011-10,904
2011-11,1803
2011-12,1415
2012-01,2543
2012-02,960
2012-03,1050
2012-04,964
2012-05,1283
2012-06,1726
2012-07,1486
2012-08,2369
2012-09,1094
2012-10,1175
2012-11,1133
2012-12,1857
2013-01,2385
2013-02,764
2013-03,1336
2013-04,1164
2013-05,1370
2013-06,1848
2013-07,2519
2013-08,1026
2013-09,1390
2013-10,1588
2013-11,1274
2013-12,2420
2014-01,1904
2014-02,899
2014-03,1316
2014-04,1175
2014-05,1399
2014-06,1971
2014-07,1290
2014-08,2688
2014-09,1432
2014-10,1478
2014-11,1258
2014-12,2188
2015-01,2579
2015-02,1159
2015-03,1387
2015-04,1351
2015-05,1365
2015-06,2330
2015-07,1202
2015-08,1243
2015-09,2810
2015-10,1680
2015-11,1489
2015-12,2762
2016-01,2070
2016-02,1217
2016-03,1638
2016-04,1356
2016-05,1471
2016-06,2434
2016-07,1477
2016-08,1466
2016-09,3150
2016-10,1824
2016-11,1942
2016-12,1946
2017-01,1632
2017-02,1271
2017-03,1853
2017-04,1420
2017-05,1822
2017-06,1986
2017-07,2790
2017-08,3212
2017-09,2207
2017-10,3038
2017-11,1948
2017-12,2271
2018-01,1661
2018-02,1429
2018-03,1930
2018-04,1817
2018-05,1816
2018-06,3344
2018-07,1795
2018-08,2084
2018-09,3402
2018-10,2227
2018-11,2142
2018-12,2463
2019-01,1977
2019-02,1448
2019-03,2109
2019-04,1856
2019-05,2071
2019-06,3782
2019-07,2691
2019-08,2398
2019-09,3547
2019-10,3832
2019-11,2179
2019-12,3156
2020-01,2363
2020-02,1797
2020-03,2554
2020-04,1895
2020-05,1867
2020-06,4435
2020-07,2526
2020-08,2467
2020-09,2322
2020-10,3463
2020-11,2680
2020-12,4173
2021-01,2754
2021-02,1941
2021-03,2365
2021-04,2060
2021-05,2354
2021-06,4566
2021-07,2448
2021-08,2923
2021-09,3708
2021-10,4575
2021-11,2541
2021-12,3519
2022-01,3043
2022-02,2004
2022-03,2528
2022-04,2274
2022-05,2723
2022-06,5854
2022-07,2580
2022-08,3151
2022-09,2718
2022-10,2758
2022-11,2563
2022-12,5246
2023-01,3382
2023-02,2132
2023-03,2850
2023-04,2641
2023-05,3182
2023-06,6597
2023-07,3111
2023-08,4710
2023-09,3291
2023-10,5829
2023-11,3653
2023-12,4755
2024-01,4324
2024-02,2830
2024-03,3428
2024-04,3556
2024-05,3612
2024-06,7129
2024-07,3812
2024-08,3881
2024-09,4856
2024-10,5062
2024-11,5103
2024-12,5128
2025-01,3195
2025-02,2171
