Date,Gestión del Conocimiento
1987-11,377
1987-12,719
1988-01,1494
1988-02,383
1988-03,738
1988-04,462
1988-05,396
1988-06,620
1988-07,467
1988-08,379
1988-09,674
1988-10,402
1988-11,434
1988-12,786
1989-01,1673
1989-02,474
1989-03,868
1989-04,489
1989-05,496
1989-06,617
1989-07,580
1989-08,476
1989-09,796
1989-10,485
1989-11,368
1989-12,817
1990-01,1808
1990-02,515
1990-03,979
1990-04,629
1990-05,534
1990-06,815
1990-07,591
1990-08,453
1990-09,913
1990-10,539
1990-11,440
1990-12,897
1991-01,1903
1991-02,489
1991-03,860
1991-04,858
1991-05,599
1991-06,770
1991-07,601
1991-08,415
1991-09,827
1991-10,603
1991-11,452
1991-12,887
1992-01,1528
1992-02,549
1992-03,1045
1992-04,734
1992-05,706
1992-06,884
1992-07,732
1992-08,511
1992-09,1002
1992-10,676
1992-11,559
1992-12,1117
1993-01,1677
1993-02,557
1993-03,926
1993-04,773
1993-05,729
1993-06,836
1993-07,703
1993-08,661
1993-09,1032
1993-10,606
1993-11,574
1993-12,1209
1994-01,2022
1994-02,607
1994-03,1045
1994-04,708
1994-05,720
1994-06,1032
1994-07,684
1994-08,648
1994-09,1018
1994-10,769
1994-11,603
1994-12,1283
1995-01,2022
1995-02,734
1995-03,1090
1995-04,731
1995-05,725
1995-06,1181
1995-07,785
1995-08,637
1995-09,1184
1995-10,830
1995-11,789
1995-12,1201
1996-01,2186
1996-02,708
1996-03,1217
1996-04,839
1996-05,859
1996-06,1162
1996-07,911
1996-08,658
1996-09,1146
1996-10,884
1996-11,844
1996-12,1276
1997-01,2340
1997-02,817
1997-03,1176
1997-04,905
1997-05,860
1997-06,1327
1997-07,934
1997-08,648
1997-09,1111
1997-10,955
1997-11,811
1997-12,1393
1998-01,2384
1998-02,773
1998-03,1425
1998-04,949
1998-05,770
1998-06,1254
1998-07,1102
1998-08,861
1998-09,1260
1998-10,896
1998-11,904
1998-12,1436
1999-01,2298
1999-02,935
1999-03,1402
1999-04,1077
1999-05,887
1999-06,1299
1999-07,1149
1999-08,1084
1999-09,1390
1999-10,1148
1999-11,1134
1999-12,1562
2000-01,2695
2000-02,1018
2000-03,1631
2000-04,1205
2000-05,981
2000-06,1381
2000-07,1228
2000-08,1150
2000-09,1367
2000-10,1625
2000-11,1200
2000-12,1719
2001-01,2664
2001-02,834
2001-03,1858
2001-04,1214
2001-05,1445
2001-06,1555
2001-07,1211
2001-08,1225
2001-09,1504
2001-10,1703
2001-11,990
2001-12,2337
2002-01,3246
2002-02,1014
2002-03,1752
2002-04,1394
2002-05,1625
2002-06,1594
2002-07,1340
2002-08,1300
2002-09,2108
2002-10,1500
2002-11,1504
2002-12,2086
2003-01,3090
2003-02,1263
2003-03,1746
2003-04,1399
2003-05,1072
2003-06,1811
2003-07,1420
2003-08,1408
2003-09,2530
2003-10,1631
2003-11,1400
2003-12,2448
2004-01,3309
2004-02,1406
2004-03,2156
2004-04,1680
2004-05,1351
2004-06,2037
2004-07,1751
2004-08,1672
2004-09,1814
2004-10,1777
2004-11,1569
2004-12,2261
2005-01,3352
2005-02,1250
2005-03,1938
2005-04,1714
2005-05,1495
2005-06,2444
2005-07,1779
2005-08,1906
2005-09,2076
2005-10,2011
2005-11,1708
2005-12,2242
2006-01,4040
2006-02,1349
2006-03,2165
2006-04,2194
2006-05,1640
2006-06,2326
2006-07,2204
2006-08,2219
2006-09,2427
2006-10,2179
2006-11,2211
2006-12,2504
2007-01,3921
2007-02,1914
2007-03,2585
2007-04,1978
2007-05,2611
2007-06,2988
2007-07,2292
2007-08,2672
2007-09,2199
2007-10,2835
2007-11,2358
2007-12,3665
2008-01,3920
2008-02,1789
2008-03,2426
2008-04,2504
2008-05,2061
2008-06,2797
2008-07,2396
2008-08,1986
2008-09,3417
2008-10,3170
2008-11,2822
2008-12,4218
2009-01,3849
2009-02,2325
2009-03,2828
2009-04,2451
2009-05,2219
2009-06,3158
2009-07,2525
2009-08,2807
2009-09,4432
2009-10,3141
2009-11,3140
2009-12,3655
2010-01,4481
2010-02,2262
2010-03,3401
2010-04,2523
2010-05,2883
2010-06,3449
2010-07,3572
2010-08,4341
2010-09,3088
2010-10,4011
2010-11,4089
2010-12,3779
2011-01,5023
2011-02,2475
2011-03,3109
2011-04,2885
2011-05,3618
2011-06,3425
2011-07,3242
2011-08,4917
2011-09,4126
2011-10,4017
2011-11,3876
2011-12,4243
2012-01,7316
2012-02,3033
2012-03,4117
2012-04,3483
2012-05,3722
2012-06,4881
2012-07,4589
2012-08,3227
2012-09,4046
2012-10,4709
2012-11,4362
2012-12,5036
2013-01,5915
2013-02,2929
2013-03,3898
2013-04,3468
2013-05,3605
2013-06,4371
2013-07,4045
2013-08,3028
2013-09,4655
2013-10,5308
2013-11,4598
2013-12,4897
2014-01,5695
2014-02,3132
2014-03,4016
2014-04,3839
2014-05,3468
2014-06,4008
2014-07,3904
2014-08,3495
2014-09,4567
2014-10,4582
2014-11,4211
2014-12,5061
2015-01,7932
2015-02,3114
2015-03,4351
2015-04,3612
2015-05,3459
2015-06,4325
2015-07,3918
2015-08,3696
2015-09,4038
2015-10,5480
2015-11,3882
2015-12,4906
2016-01,5843
2016-02,4033
2016-03,4415
2016-04,5725
2016-05,3877
2016-06,4884
2016-07,4313
2016-08,3747
2016-09,4893
2016-10,5179
2016-11,4357
2016-12,5938
2017-01,4695
2017-02,3817
2017-03,5378
2017-04,3934
2017-05,5048
2017-06,5476
2017-07,6034
2017-08,5283
2017-09,6572
2017-10,5686
2017-11,6013
2017-12,6804
2018-01,5397
2018-02,4257
2018-03,4936
2018-04,5309
2018-05,5317
2018-06,5652
2018-07,5307
2018-08,5552
2018-09,6144
2018-10,6697
2018-11,4887
2018-12,7151
2019-01,5353
2019-02,4609
2019-03,6168
2019-04,5134
2019-05,5408
2019-06,6234
2019-07,5933
2019-08,6192
2019-09,6474
2019-10,6656
2019-11,8213
2019-12,8487
2020-01,5884
2020-02,5294
2020-03,6179
2020-04,5819
2020-05,5506
2020-06,6563
2020-07,6515
2020-08,6677
2020-09,6876
2020-10,7486
2020-11,6790
2020-12,10551
2021-01,7010
2021-02,5764
2021-03,6995
2021-04,6494
2021-05,6188
2021-06,7584
2021-07,6728
2021-08,7126
2021-09,7745
2021-10,7424
2021-11,6906
2021-12,10382
2022-01,11558
2022-02,6064
2022-03,7170
2022-04,7199
2022-05,6962
2022-06,9418
2022-07,6699
2022-08,9615
2022-09,8350
2022-10,8067
2022-11,7955
2022-12,11312
2023-01,7208
2023-02,6749
2023-03,9056
2023-04,7045
2023-05,7900
2023-06,8966
2023-07,7728
2023-08,8929
2023-09,9235
2023-10,9726
2023-11,9981
2023-12,11957
2024-01,8611
2024-02,8024
2024-03,8911
2024-04,9189
2024-05,9940
2024-06,9749
2024-07,9298
2024-08,9971
2024-09,9635
2024-10,10311
2024-11,8878
2024-12,11225
2025-01,8256
2025-02,6908
2025-03,1448
