Date,Gestión del Conocimiento
1986-11,1441
1986-12,5942
1987-01,5647
1987-02,1613
1987-03,1897
1987-04,1477
1987-05,1605
1987-06,1776
1987-07,1399
1987-08,1740
1987-09,1807
1987-10,1340
1987-11,1583
1987-12,7352
1988-01,6958
1988-02,1778
1988-03,1980
1988-04,1485
1988-05,1675
1988-06,1827
1988-07,1495
1988-08,1727
1988-09,1778
1988-10,1459
1988-11,1749
1988-12,7347
1989-01,6768
1989-02,2042
1989-03,2209
1989-04,1696
1989-05,1845
1989-06,1954
1989-07,1681
1989-08,2124
1989-09,2144
1989-10,1517
1989-11,1694
1989-12,8243
1990-01,7835
1990-02,2299
1990-03,2570
1990-04,1919
1990-05,2163
1990-06,2273
1990-07,1808
1990-08,2143
1990-09,2284
1990-10,1640
1990-11,1906
1990-12,8754
1991-01,8195
1991-02,2189
1991-03,2699
1991-04,2192
1991-05,2207
1991-06,2289
1991-07,1785
1991-08,2213
1991-09,2487
1991-10,1871
1991-11,2108
1991-12,8055
1992-01,7518
1992-02,2596
1992-03,2852
1992-04,2297
1992-05,2620
1992-06,2634
1992-07,2001
1992-08,2508
1992-09,2689
1992-10,2149
1992-11,2349
1992-12,9411
1993-01,8719
1993-02,2488
1993-03,2900
1993-04,2575
1993-05,2701
1993-06,2706
1993-07,2259
1993-08,2815
1993-09,2874
1993-10,2080
1993-11,2578
1993-12,10504
1994-01,9697
1994-02,2848
1994-03,3037
1994-04,2284
1994-05,2980
1994-06,2978
1994-07,2298
1994-08,2831
1994-09,3058
1994-10,2364
1994-11,2846
1994-12,11363
1995-01,10493
1995-02,3001
1995-03,3187
1995-04,2598
1995-05,3191
1995-06,3249
1995-07,2549
1995-08,3145
1995-09,3432
1995-10,2763
1995-11,3101
1995-12,11338
1996-01,10629
1996-02,3297
1996-03,3648
1996-04,2897
1996-05,3412
1996-06,3614
1996-07,2857
1996-08,3181
1996-09,3541
1996-10,2944
1996-11,3267
1996-12,12849
1997-01,12176
1997-02,3519
1997-03,3684
1997-04,3034
1997-05,3580
1997-06,3881
1997-07,3025
1997-08,3308
1997-09,3627
1997-10,2981
1997-11,3323
1997-12,13567
1998-01,12784
1998-02,3592
1998-03,4121
1998-04,3195
1998-05,3494
1998-06,4007
1998-07,3216
1998-08,3596
1998-09,3805
1998-10,3108
1998-11,3573
1998-12,14696
1999-01,13828
1999-02,3850
1999-03,4223
1999-04,3423
1999-05,3736
1999-06,4065
1999-07,3538
1999-08,4173
1999-09,4180
1999-10,3666
1999-11,4012
1999-12,17069
2000-01,15950
2000-02,4068
2000-03,4715
2000-04,3802
2000-05,3980
2000-06,4504
2000-07,3822
2000-08,4160
2000-09,4303
2000-10,4027
2000-11,4253
2000-12,17371
2001-01,16171
2001-02,3942
2001-03,5070
2001-04,3860
2001-05,4585
2001-06,4672
2001-07,4004
2001-08,4540
2001-09,4659
2001-10,4697
2001-11,4384
2001-12,19165
2002-01,17814
2002-02,4352
2002-03,5070
2002-04,4238
2002-05,4919
2002-06,4729
2002-07,4480
2002-08,4764
2002-09,5498
2002-10,4557
2002-11,5068
2002-12,20914
2003-01,19577
2003-02,4863
2003-03,5323
2003-04,4179
2003-05,4443
2003-06,5333
2003-07,4643
2003-08,5416
2003-09,6254
2003-10,4660
2003-11,5052
2003-12,22763
2004-01,21593
2004-02,5412
2004-03,6212
2004-04,5112
2004-05,5415
2004-06,6614
2004-07,5387
2004-08,5918
2004-09,5803
2004-10,5241
2004-11,5809
2004-12,23559
2005-01,21878
2005-02,5505
2005-03,6169
2005-04,5218
2005-05,5890
2005-06,6779
2005-07,5565
2005-08,6356
2005-09,6285
2005-10,5795
2005-11,6333
2005-12,27069
2006-01,26007
2006-02,5704
2006-03,6746
2006-04,6029
2006-05,6550
2006-06,7575
2006-07,6553
2006-08,7473
2006-09,7582
2006-10,7086
2006-11,7374
2006-12,25594
2007-01,24382
2007-02,6320
2007-03,7544
2007-04,6547
2007-05,8139
2007-06,8242
2007-07,7918
2007-08,8548
2007-09,8296
2007-10,8258
2007-11,8997
2007-12,29698
2008-01,27074
2008-02,6502
2008-03,7792
2008-04,7555
2008-05,7681
2008-06,8522
2008-07,7815
2008-08,8412
2008-09,10667
2008-10,9698
2008-11,9994
2008-12,36366
2009-01,32727
2009-02,7852
2009-03,8368
2009-04,8003
2009-05,8091
2009-06,9358
2009-07,8689
2009-08,11455
2009-09,11818
2009-10,8782
2009-11,9865
2009-12,38607
2010-01,36037
2010-02,7661
2010-03,9430
2010-04,8324
2010-05,9843
2010-06,10827
2010-07,12609
2010-08,11807
2010-09,10773
2010-10,12057
2010-11,11953
2010-12,38970
2011-01,36479
2011-02,8614
2011-03,9641
2011-04,10838
2011-05,11988
2011-06,11695
2011-07,12954
2011-08,15063
2011-09,13126
2011-10,11632
2011-11,11484
2011-12,40050
2012-01,41053
2012-02,9905
2012-03,11201
2012-04,11150
2012-05,12742
2012-06,16463
2012-07,13426
2012-08,10901
2012-09,13758
2012-10,13262
2012-11,13294
2012-12,51174
2013-01,48269
2013-02,10146
2013-03,11372
2013-04,10630
2013-05,11897
2013-06,14415
2013-07,12208
2013-08,11432
2013-09,14102
2013-10,14644
2013-11,13898
2013-12,52001
2014-01,49718
2014-02,10596
2014-03,12378
2014-04,12007
2014-05,12752
2014-06,12924
2014-07,12600
2014-08,12980
2014-09,14477
2014-10,14436
2014-11,14294
2014-12,58168
2015-01,57382
2015-02,10720
2015-03,13042
2015-04,12408
2015-05,13785
2015-06,14594
2015-07,12311
2015-08,12999
2015-09,14128
2015-10,15842
2015-11,14255
2015-12,63813
2016-01,60660
2016-02,12645
2016-03,14302
2016-04,15103
2016-05,14581
2016-06,16099
2016-07,13659
2016-08,14785
2016-09,17430
2016-10,16068
2016-11,16366
2016-12,61748
2017-01,57846
2017-02,13711
2017-03,16281
2017-04,14500
2017-05,17112
2017-06,18168
2017-07,20952
2017-08,19661
2017-09,19508
2017-10,17712
2017-11,19164
2017-12,70906
2018-01,66121
2018-02,15036
2018-03,17133
2018-04,16994
2018-05,18205
2018-06,20012
2018-07,22352
2018-08,21071
2018-09,21061
2018-10,20754
2018-11,19357
2018-12,75088
2019-01,69539
2019-02,16702
2019-03,19873
2019-04,18264
2019-05,19853
2019-06,21658
2019-07,23974
2019-08,22780
2019-09,23350
2019-10,23180
2019-11,26172
2019-12,85141
2020-01,78259
2020-02,18369
2020-03,20995
2020-04,19428
2020-05,20807
2020-06,24060
2020-07,24653
2020-08,25356
2020-09,24528
2020-10,25027
2020-11,25898
2020-12,93826
2021-01,83294
2021-02,20702
2021-03,24164
2021-04,22584
2021-05,22839
2021-06,27185
2021-07,25399
2021-08,27494
2021-09,26496
2021-10,25284
2021-11,26086
2021-12,96837
2022-01,91305
2022-02,20986
2022-03,24154
2022-04,23617
2022-05,25090
2022-06,30566
2022-07,27932
2022-08,31891
2022-09,27490
2022-10,26805
2022-11,28490
2022-12,110417
2023-01,97098
2023-02,23061
2023-03,28194
2023-04,24788
2023-05,27696
2023-06,30985
2023-07,30002
2023-08,32566
2023-09,31187
2023-10,31961
2023-11,34541
2023-12,113549
2024-01,102311
2024-02,27371
2024-03,29931
2024-04,31073
2024-05,33584
2024-06,34869
2024-07,35869
2024-08,36207
2024-09,33704
2024-10,34909
2024-11,34109
2024-12,54253
2025-01,42697
2025-02,25017
2025-03,12862
