Date,Estrategias de Crecimiento
1950-01,72
1950-02,29
1950-03,43
1950-04,63
1950-05,39
1950-06,48
1950-07,71
1950-08,40
1950-09,55
1950-10,52
1950-11,45
1950-12,56
1951-01,84
1951-02,44
1951-03,65
1951-04,66
1951-05,61
1951-06,53
1951-07,66
1951-08,46
1951-09,58
1951-10,65
1951-11,50
1951-12,82
1952-01,100
1952-02,66
1952-03,60
1952-04,56
1952-05,57
1952-06,57
1952-07,67
1952-08,48
1952-09,71
1952-10,61
1952-11,63
1952-12,89
1953-01,107
1953-02,41
1953-03,71
1953-04,78
1953-05,72
1953-06,70
1953-07,92
1953-08,57
1953-09,65
1953-10,74
1953-11,76
1953-12,88
1954-01,110
1954-02,64
1954-03,91
1954-04,72
1954-05,65
1954-06,58
1954-07,77
1954-08,43
1954-09,76
1954-10,78
1954-11,69
1954-12,127
1955-01,98
1955-02,64
1955-03,70
1955-04,59
1955-05,67
1955-06,55
1955-07,78
1955-08,61
1955-09,66
1955-10,74
1955-11,65
1955-12,142
1956-01,106
1956-02,64
1956-03,70
1956-04,70
1956-05,79
1956-06,82
1956-07,79
1956-08,58
1956-09,92
1956-10,87
1956-11,60
1956-12,132
1957-01,122
1957-02,60
1957-03,89
1957-04,74
1957-05,73
1957-06,75
1957-07,75
1957-08,62
1957-09,90
1957-10,100
1957-11,70
1957-12,113
1958-01,117
1958-02,69
1958-03,119
1958-04,99
1958-05,65
1958-06,80
1958-07,98
1958-08,72
1958-09,107
1958-10,90
1958-11,103
1958-12,112
1959-01,160
1959-02,69
1959-03,101
1959-04,116
1959-05,88
1959-06,94
1959-07,111
1959-08,80
1959-09,129
1959-10,98
1959-11,103
1959-12,223
1960-01,160
1960-02,85
1960-03,114
1960-04,114
1960-05,110
1960-06,106
1960-07,103
1960-08,95
1960-09,102
1960-10,106
1960-11,101
1960-12,215
1961-01,171
1961-02,93
1961-03,129
1961-04,111
1961-05,116
1961-06,112
1961-07,127
1961-08,90
1961-09,122
1961-10,123
1961-11,106
1961-12,192
1962-01,186
1962-02,116
1962-03,172
1962-04,132
1962-05,145
1962-06,124
1962-07,149
1962-08,79
1962-09,138
1962-10,127
1962-11,125
1962-12,224
1963-01,245
1963-02,112
1963-03,164
1963-04,134
1963-05,129
1963-06,133
1963-07,112
1963-08,96
1963-09,179
1963-10,138
1963-11,124
1963-12,310
1964-01,252
1964-02,124
1964-03,143
1964-04,147
1964-05,147
1964-06,146
1964-07,127
1964-08,109
1964-09,183
1964-10,133
1964-11,125
1964-12,296
1965-01,259
1965-02,170
1965-03,189
1965-04,163
1965-05,181
1965-06,148
1965-07,177
1965-08,122
1965-09,174
1965-10,181
1965-11,162
1965-12,258
1966-01,241
1966-02,143
1966-03,193
1966-04,175
1966-05,192
1966-06,174
1966-07,163
1966-08,129
1966-09,184
1966-10,188
1966-11,182
1966-12,308
1967-01,309
1967-02,135
1967-03,201
1967-04,177
1967-05,171
1967-06,192
1967-07,223
1967-08,172
1967-09,217
1967-10,220
1967-11,167
1967-12,425
1968-01,562
1968-02,209
1968-03,251
1968-04,216
1968-05,181
1968-06,231
1968-07,223
1968-08,207
1968-09,273
1968-10,218
1968-11,186
1968-12,325
1969-01,353
1969-02,236
1969-03,256
1969-04,239
1969-05,228
1969-06,282
1969-07,249
1969-08,217
1969-09,265
1969-10,225
1969-11,250
1969-12,462
1970-01,1207
1970-02,231
1970-03,302
1970-04,243
1970-05,227
1970-06,223
1970-07,261
1970-08,194
1970-09,304
1970-10,277
1970-11,250
1970-12,411
1971-01,485
1971-02,264
1971-03,288
1971-04,281
1971-05,301
1971-06,274
1971-07,267
1971-08,261
1971-09,295
1971-10,297
1971-11,277
1971-12,563
1972-01,550
1972-02,273
1972-03,345
1972-04,338
1972-05,401
1972-06,312
1972-07,305
1972-08,273
1972-09,343
1972-10,302
1972-11,253
1972-12,474
1973-01,566
1973-02,283
1973-03,381
1973-04,314
1973-05,244
1973-06,309
1973-07,328
1973-08,264
1973-09,410
1973-10,347
1973-11,287
1973-12,455
1974-01,588
1974-02,322
1974-03,401
1974-04,373
1974-05,269
1974-06,391
1974-07,360
1974-08,301
1974-09,371
1974-10,501
1974-11,320
1974-12,597
1975-01,597
1975-02,264
1975-03,413
1975-04,385
1975-05,347
1975-06,365
1975-07,373
1975-08,394
1975-09,335
1975-10,394
1975-11,310
1975-12,606
1976-01,739
1976-02,319
1976-03,452
1976-04,403
1976-05,322
1976-06,437
1976-07,365
1976-08,354
1976-09,384
1976-10,454
1976-11,329
1976-12,538
1977-01,806
1977-02,309
1977-03,455
1977-04,419
1977-05,369
1977-06,409
1977-07,386
1977-08,344
1977-09,448
1977-10,350
1977-11,357
1977-12,676
1978-01,866
1978-02,336
1978-03,478
1978-04,457
1978-05,356
1978-06,483
1978-07,383
1978-08,357
1978-09,386
1978-10,427
1978-11,423
1978-12,589
