Date,Lealtad del Cliente
1950-01,46
1950-02,12
1950-03,8
1950-04,46
1950-05,8
1950-06,18
1950-07,40
1950-08,13
1950-09,12
1950-10,49
1950-11,8
1950-12,14
1951-01,64
1951-02,18
1951-03,22
1951-04,40
1951-05,28
1951-06,11
1951-07,40
1951-08,8
1951-09,29
1951-10,41
1951-11,24
1951-12,24
1952-01,63
1952-02,11
1952-03,22
1952-04,41
1952-05,28
1952-06,12
1952-07,67
1952-08,8
1952-09,20
1952-10,30
1952-11,24
1952-12,26
1953-01,63
1953-02,14
1953-03,24
1953-04,41
1953-05,40
1953-06,17
1953-07,52
1953-08,15
1953-09,23
1953-10,39
1953-11,21
1953-12,20
1954-01,61
1954-02,26
1954-03,24
1954-04,52
1954-05,35
1954-06,16
1954-07,54
1954-08,20
1954-09,32
1954-10,48
1954-11,32
1954-12,59
1955-01,99
1955-02,22
1955-03,42
1955-04,56
1955-05,36
1955-06,23
1955-07,56
1955-08,21
1955-09,35
1955-10,55
1955-11,30
1955-12,27
1956-01,82
1956-02,15
1956-03,30
1956-04,61
1956-05,29
1956-06,18
1956-07,58
1956-08,14
1956-09,35
1956-10,53
1956-11,26
1956-12,29
1957-01,75
1957-02,32
1957-03,38
1957-04,55
1957-05,37
1957-06,25
1957-07,60
1957-08,28
1957-09,35
1957-10,55
1957-11,41
1957-12,48
1958-01,80
1958-02,22
1958-03,38
1958-04,69
1958-05,21
1958-06,26
1958-07,73
1958-08,24
1958-09,40
1958-10,78
1958-11,27
1958-12,51
1959-01,91
1959-02,20
1959-03,41
1959-04,87
1959-05,36
1959-06,31
1959-07,90
1959-08,28
1959-09,51
1959-10,59
1959-11,40
1959-12,42
1960-01,123
1960-02,14
1960-03,48
1960-04,80
1960-05,36
1960-06,26
1960-07,95
1960-08,22
1960-09,43
1960-10,80
1960-11,23
1960-12,86
1961-01,96
1961-02,29
1961-03,43
1961-04,80
1961-05,45
1961-06,28
1961-07,91
1961-08,60
1961-09,71
1961-10,75
1961-11,40
1961-12,80
1962-01,102
1962-02,28
1962-03,59
1962-04,87
1962-05,43
1962-06,36
1962-07,114
1962-08,43
1962-09,61
1962-10,86
1962-11,53
1962-12,105
1963-01,113
1963-02,25
1963-03,74
1963-04,84
1963-05,63
1963-06,45
1963-07,125
1963-08,38
1963-09,79
1963-10,106
1963-11,52
1963-12,106
1964-01,104
1964-02,46
1964-03,89
1964-04,93
1964-05,66
1964-06,63
1964-07,108
1964-08,28
1964-09,92
1964-10,74
1964-11,75
1964-12,99
1965-01,124
1965-02,68
1965-03,95
1965-04,90
1965-05,75
1965-06,78
1965-07,135
1965-08,52
1965-09,79
1965-10,132
1965-11,74
1965-12,123
1966-01,134
1966-02,66
1966-03,80
1966-04,85
1966-05,96
1966-06,78
1966-07,132
1966-08,55
1966-09,94
1966-10,116
1966-11,93
1966-12,142
1967-01,144
1967-02,88
1967-03,122
1967-04,121
1967-05,82
1967-06,104
1967-07,128
1967-08,69
1967-09,99
1967-10,106
1967-11,71
1967-12,124
1968-01,117
1968-02,88
1968-03,98
1968-04,118
1968-05,110
1968-06,78
1968-07,136
1968-08,85
1968-09,109
1968-10,132
1968-11,81
1968-12,131
1969-01,138
1969-02,82
1969-03,101
1969-04,97
1969-05,95
1969-06,60
1969-07,114
1969-08,64
1969-09,112
1969-10,127
1969-11,99
1969-12,146
1970-01,396
1970-02,81
1970-03,100
1970-04,117
1970-05,98
1970-06,97
1970-07,123
1970-08,89
1970-09,107
1970-10,158
1970-11,101
1970-12,119
1971-01,158
1971-02,96
1971-03,143
1971-04,129
1971-05,118
1971-06,113
1971-07,143
1971-08,100
1971-09,157
1971-10,138
1971-11,87
1971-12,145
1972-01,208
1972-02,88
1972-03,125
1972-04,185
1972-05,108
1972-06,108
1972-07,205
1972-08,124
1972-09,152
1972-10,186
1972-11,101
1972-12,161
1973-01,197
1973-02,131
1973-03,169
1973-04,129
1973-05,158
1973-06,124
1973-07,179
1973-08,151
1973-09,177
1973-10,165
1973-11,118
1973-12,166
1974-01,215
1974-02,119
1974-03,194
1974-04,140
1974-05,167
1974-06,160
1974-07,170
1974-08,167
1974-09,206
1974-10,202
1974-11,142
1974-12,190
1975-01,245
1975-02,123
1975-03,191
1975-04,181
1975-05,143
1975-06,194
1975-07,201
1975-08,180
1975-09,189
1975-10,174
1975-11,131
1975-12,216
1976-01,354
1976-02,113
1976-03,202
1976-04,236
1976-05,158
1976-06,194
1976-07,222
1976-08,176
1976-09,196
1976-10,238
1976-11,145
1976-12,216
1977-01,424
1977-02,128
1977-03,228
1977-04,223
1977-05,189
1977-06,205
1977-07,252
1977-08,146
1977-09,217
1977-10,228
1977-11,143
1977-12,248
1978-01,453
1978-02,142
1978-03,243
1978-04,251
1978-05,165
1978-06,196
1978-07,272
1978-08,175
1978-09,201
1978-10,251
1978-11,188
1978-12,228
1979-01,493
1979-02,169
1979-03,271
1979-04,243
1979-05,166
1979-06,231
1979-07,232
1979-08,168
1979-09,233
1979-10,213
1979-11,195
1979-12,258
1980-01,550
1980-02,173
1980-03,312
1980-04,271
1980-05,194
1980-06,238
1980-07,275
1980-08,177
1980-09,246
1980-10,272
1980-11,182
1980-12,316
1981-01,567
1981-02,171
1981-03,350
1981-04,264
1981-05,189
1981-06,243
1981-07,327
1981-08,188
1981-09,306
1981-10,278
1981-11,169
1981-12,309
1982-01,687
1982-02,180
1982-03,330
1982-04,289
1982-05,198
1982-06,340
1982-07,318
1982-08,181
1982-09,315
1982-10,262
1982-11,208
1982-12,295
1983-01,742
1983-02,189
1983-03,386
1983-04,283
1983-05,227
1983-06,323
1983-07,341
1983-08,211
1983-09,392
1983-10,271
1983-11,242
1983-12,342
1984-01,880
1984-02,266
1984-03,431
1984-04,305
1984-05,251
1984-06,370
1984-07,361
1984-08,253
1984-09,394
1984-10,299
1984-11,248
1984-12,392
1985-01,1051
1985-02,270
1985-03,425
1985-04,329
1985-05,277
1985-06,340
1985-07,405
1985-08,241
1985-09,435
1985-10,298
1985-11,278
1985-12,446
1986-01,1160
1986-02,236
1986-03,455
1986-04,309
1986-05,338
1986-06,345
1986-07,370
1986-08,253
1986-09,465
1986-10,336
1986-11,376
1986-12,420
1987-01,1042
1987-02,278
1987-03,503
1987-04,397
1987-05,300
1987-06,525
1987-07,384
1987-08,295
1987-09,524
1987-10,313
1987-11,314
1987-12,470
1988-01,1242
1988-02,298
1988-03,561
1988-04,354
1988-05,332
1988-06,449
1988-07,379
1988-08,325
1988-09,476
1988-10,353
1988-11,356
1988-12,570
1989-01,1376
1989-02,324
1989-03,644
1989-04,364
1989-05,397
1989-06,469
1989-07,414
1989-08,391
1989-09,610
1989-10,383
1989-11,326
1989-12,585
1990-01,1431
1990-02,396
1990-03,681
1990-04,474
1990-05,415
1990-06,604
1990-07,482
1990-08,367
1990-09,682
1990-10,396
1990-11,357
1990-12,625
1991-01,1545
1991-02,408
1991-03,645
1991-04,593
1991-05,446
1991-06,587
1991-07,483
1991-08,352
1991-09,656
1991-10,491
1991-11,367
1991-12,630
1992-01,1270
1992-02,425
1992-03,824
1992-04,532
1992-05,562
1992-06,658
1992-07,594
1992-08,412
1992-09,768
1992-10,543
1992-11,475
1992-12,727
1993-01,1354
1993-02,441
1993-03,742
1993-04,570
1993-05,562
1993-06,674
1993-07,557
1993-08,530
1993-09,829
1993-10,512
1993-11,433
1993-12,900
1994-01,1636
1994-02,465
1994-03,796
1994-04,575
1994-05,560
1994-06,819
1994-07,583
1994-08,514
1994-09,815
1994-10,622
1994-11,506
1994-12,955
1995-01,1571
1995-02,545
1995-03,907
1995-04,629
1995-05,621
1995-06,914
1995-07,657
1995-08,521
1995-09,967
1995-10,696
1995-11,627
1995-12,885
1996-01,1676
1996-02,592
1996-03,1019
1996-04,696
1996-05,637
1996-06,970
1996-07,774
1996-08,531
1996-09,893
1996-10,736
1996-11,655
1996-12,1002
1997-01,1741
1997-02,708
1997-03,1001
1997-04,792
1997-05,673
1997-06,1010
1997-07,794
1997-08,598
1997-09,921
1997-10,768
1997-11,671
1997-12,1036
1998-01,1835
1998-02,667
1998-03,1125
1998-04,811
1998-05,655
1998-06,1044
1998-07,927
1998-08,754
1998-09,985
1998-10,729
1998-11,660
1998-12,1210
1999-01,1699
1999-02,750
1999-03,1070
1999-04,869
1999-05,665
1999-06,1061
1999-07,979
1999-08,808
1999-09,1094
1999-10,854
1999-11,852
1999-12,1215
2000-01,2037
