Date,Gestión del Cambio
1987-11,477
1987-12,849
1988-01,1777
1988-02,429
1988-03,840
1988-04,584
1988-05,485
1988-06,717
1988-07,570
1988-08,471
1988-09,740
1988-10,533
1988-11,496
1988-12,887
1989-01,1890
1989-02,515
1989-03,941
1989-04,647
1989-05,595
1989-06,740
1989-07,661
1989-08,575
1989-09,829
1989-10,690
1989-11,496
1989-12,1137
1990-01,2104
1990-02,643
1990-03,1025
1990-04,791
1990-05,641
1990-06,927
1990-07,756
1990-08,520
1990-09,1052
1990-10,709
1990-11,586
1990-12,1394
1991-01,2203
1991-02,559
1991-03,1014
1991-04,1035
1991-05,715
1991-06,923
1991-07,866
1991-08,517
1991-09,1026
1991-10,828
1991-11,586
1991-12,1253
1992-01,1854
1992-02,685
1992-03,1273
1992-04,834
1992-05,896
1992-06,1087
1992-07,942
1992-08,575
1992-09,1152
1992-10,877
1992-11,728
1992-12,1484
1993-01,2058
1993-02,661
1993-03,1127
1993-04,926
1993-05,877
1993-06,1031
1993-07,927
1993-08,760
1993-09,1241
1993-10,856
1993-11,689
1993-12,1586
1994-01,2428
1994-02,693
1994-03,1237
1994-04,895
1994-05,860
1994-06,1267
1994-07,859
1994-08,743
1994-09,1241
1994-10,962
1994-11,733
1994-12,1646
1995-01,2299
1995-02,805
1995-03,1382
1995-04,960
1995-05,925
1995-06,1412
1995-07,1045
1995-08,794
1995-09,1426
1995-10,1023
1995-11,944
1995-12,1574
1996-01,2701
1996-02,856
1996-03,1503
1996-04,1076
1996-05,987
1996-06,1469
1996-07,1190
1996-08,800
1996-09,1382
1996-10,1081
1996-11,1043
1996-12,1681
1997-01,2647
1997-02,926
1997-03,1455
1997-04,1116
1997-05,1031
1997-06,1558
1997-07,1211
1997-08,820
1997-09,1297
1997-10,1176
1997-11,966
1997-12,1733
1998-01,2694
1998-02,950
1998-03,1715
1998-04,1146
1998-05,961
1998-06,1532
1998-07,1330
1998-08,990
1998-09,1536
1998-10,1197
1998-11,972
1998-12,1797
1999-01,2624
1999-02,1043
1999-03,1629
1999-04,1267
1999-05,1136
1999-06,1496
1999-07,1496
1999-08,1237
1999-09,1595
1999-10,1418
1999-11,1286
1999-12,1979
2000-01,3164
2000-02,1140
2000-03,1852
2000-04,1324
2000-05,1191
2000-06,1735
2000-07,1480
2000-08,1224
