Date,Estrategias de Crecimiento
1987-10,725
1987-11,698
1987-12,959
1988-01,2032
1988-02,684
1988-03,915
1988-04,827
1988-05,714
1988-06,904
1988-07,780
1988-08,793
1988-09,845
1988-10,866
1988-11,635
1988-12,1108
1989-01,2147
1989-02,863
1989-03,1010
1989-04,889
1989-05,818
1989-06,1008
1989-07,943
1989-08,751
1989-09,1090
1989-10,852
1989-11,880
1989-12,1106
1990-01,2423
1990-02,855
1990-03,1080
1990-04,1163
1990-05,907
1990-06,1089
1990-07,957
1990-08,774
1990-09,1269
1990-10,1018
1990-11,762
1990-12,1307
1991-01,2797
1991-02,967
1991-03,1188
1991-04,1036
1991-05,1132
1991-06,1082
1991-07,1071
1991-08,832
1991-09,1060
1991-10,990
1991-11,877
1991-12,1630
1992-01,2303
1992-02,1107
1992-03,1202
1992-04,1213
1992-05,1127
1992-06,1279
1992-07,1177
1992-08,1007
1992-09,1276
1992-10,1177
1992-11,1103
1992-12,1392
1993-01,2417
1993-02,1275
1993-03,1536
1993-04,1292
1993-05,1407
1993-06,1289
1993-07,1141
1993-08,1143
1993-09,1278
1993-10,1297
1993-11,917
1993-12,1362
1994-01,2452
1994-02,1086
1994-03,1436
1994-04,1415
1994-05,1214
1994-06,1347
1994-07,1240
1994-08,1073
1994-09,1368
1994-10,1255
1994-11,1079
1994-12,1679
1995-01,2499
1995-02,1159
1995-03,1348
1995-04,1483
1995-05,1590
1995-06,1453
1995-07,1391
1995-08,1083
1995-09,1429
1995-10,1404
1995-11,1149
1995-12,1726
1996-01,2347
1996-02,1408
1996-03,1637
1996-04,1537
1996-05,1231
1996-06,1537
1996-07,1479
1996-08,1276
1996-09,1717
1996-10,1428
1996-11,1258
1996-12,1778
1997-01,2308
1997-02,1226
1997-03,1485
1997-04,1672
1997-05,1504
1997-06,1643
1997-07,1460
1997-08,1336
1997-09,1507
1997-10,1355
1997-11,1150
1997-12,1755
1998-01,2178
1998-02,1985
1998-03,1606
1998-04,1659
1998-05,1294
1998-06,1840
1998-07,1415
1998-08,1429
1998-09,1676
1998-10,1246
1998-11,1213
1998-12,1806
1999-01,2279
1999-02,1306
1999-03,1829
1999-04,1686
1999-05,1619
1999-06,1652
1999-07,1340
1999-08,1186
1999-09,1739
1999-10,1285
1999-11,1369
1999-12,1682
2000-01,2791
2000-02,1299
2000-03,1739
2000-04,1874
2000-05,1452
2000-06,2109
2000-07,1450
2000-08,1306
2000-09,1703
2000-10,1500
2000-11,1318
2000-12,1894
2001-01,2569
2001-02,1268
2001-03,1725
2001-04,1736
2001-05,1482
2001-06,1850
2001-07,1741
2001-08,1354
2001-09,1788
2001-10,1850
2001-11,1381
2001-12,2180
2002-01,2944
2002-02,1402
2002-03,1811
2002-04,2043
2002-05,1572
2002-06,1709
2002-07,1513
2002-08,1512
2002-09,2038
2002-10,1590
2002-11,1439
2002-12,1993
2003-01,2700
2003-02,1623
2003-03,1963
2003-04,1865
2003-05,1496
2003-06,2036
2003-07,1504
2003-08,1562
2003-09,2313
2003-10,1627
2003-11,1494
2003-12,2185
2004-01,2928
2004-02,1754
2004-03,2414
2004-04,1901
2004-05,1973
2004-06,2357
2004-07,2107
2004-08,1965
2004-09,2216
2004-10,2100
2004-11,1701
2004-12,2498
2005-01,3093
2005-02,2059
2005-03,2084
2005-04,2026
2005-05,2056
2005-06,2444
2005-07,1930
2005-08,1989
2005-09,2071
2005-10,2071
2005-11,2010
2005-12,2372
2006-01,3324
2006-02,1824
2006-03,2538
2006-04,2181
2006-05,2050
2006-06,2506
2006-07,2385
2006-08,2135
2006-09,2579
2006-10,2608
2006-11,2406
2006-12,2559
2007-01,3466
2007-02,2001
2007-03,2738
2007-04,2655
2007-05,2460
2007-06,2874
2007-07,2399
2007-08,2410
2007-09,2864
2007-10,3129
2007-11,2443
2007-12,3105
2008-01,3259
2008-02,2150
2008-03,2807
2008-04,2836
2008-05,2579
2008-06,2761
2008-07,2667
2008-08,2327
2008-09,3382
2008-10,2953
2008-11,2584
2008-12,3439
2009-01,3884
2009-02,2921
2009-03,2745
2009-04,3031
2009-05,2841
2009-06,3234
2009-07,2751
2009-08,2619
2009-09,3409
2009-10,2918
2009-11,2689
2009-12,3394
2010-01,4015
2010-02,2397
2010-03,3045
2010-04,3257
2010-05,3405
2010-06,3366
2010-07,3019
2010-08,3135
2010-09,3356
2010-10,3560
2010-11,3351
2010-12,3584
2011-01,4229
2011-02,2918
