Date,Lealtad del Cliente
1987-11,413
1987-12,636
1988-01,1586
1988-02,420
1988-03,730
1988-04,490
1988-05,456
1988-06,601
1988-07,523
1988-08,431
1988-09,639
1988-10,448
1988-11,457
1988-12,719
1989-01,1756
1989-02,510
1989-03,891
1989-04,545
1989-05,546
1989-06,600
1989-07,605
1989-08,510
1989-09,753
1989-10,525
1989-11,434
1989-12,780
1990-01,1870
1990-02,542
1990-03,893
1990-04,700
1990-05,583
1990-06,808
1990-07,633
1990-08,480
1990-09,949
1990-10,531
1990-11,473
1990-12,838
1991-01,1978
1991-02,525
1991-03,863
1991-04,907
1991-05,626
1991-06,745
1991-07,642
1991-08,447
1991-09,852
1991-10,677
1991-11,485
1991-12,834
1992-01,1659
1992-02,599
1992-03,1041
1992-04,752
1992-05,739
1992-06,859
1992-07,769
1992-08,535
1992-09,998
1992-10,700
1992-11,605
1992-12,1057
1993-01,1750
1993-02,621
1993-03,968
1993-04,806
1993-05,816
1993-06,861
1993-07,755
1993-08,654
1993-09,1086
1993-10,682
1993-11,608
1993-12,1199
1994-01,2215
1994-02,646
1994-03,1061
1994-04,748
1994-05,730
1994-06,1055
1994-07,749
1994-08,736
1994-09,1040
1994-10,853
1994-11,630
1994-12,1264
1995-01,2176
1995-02,748
1995-03,1178
1995-04,799
1995-05,798
1995-06,1221
1995-07,851
1995-08,666
1995-09,1213
1995-10,905
1995-11,819
1995-12,1151
1996-01,2346
1996-02,770
1996-03,1288
1996-04,885
1996-05,890
1996-06,1261
1996-07,1022
1996-08,725
1996-09,1200
1996-10,973
1996-11,911
1996-12,1313
1997-01,2440
1997-02,876
1997-03,1234
1997-04,1003
1997-05,950
1997-06,1351
1997-07,1021
1997-08,712
1997-09,1150
1997-10,1013
1997-11,873
1997-12,1394
1998-01,2537
1998-02,865
1998-03,1520
1998-04,1042
1998-05,833
1998-06,1351
1998-07,1183
1998-08,983
1998-09,1298
1998-10,952
1998-11,895
1998-12,1561
1999-01,2446
1999-02,976
1999-03,1482
1999-04,1169
1999-05,994
1999-06,1339
1999-07,1227
1999-08,1114
1999-09,1476
1999-10,1206
1999-11,1152
1999-12,1652
2000-01,2830
2000-02,1045
2000-03,1733
2000-04,1291
2000-05,1080
2000-06,1507
2000-07,1332
2000-08,1211
2000-09,1474
2000-10,1729
2000-11,1178
2000-12,1735
2001-01,2819
2001-02,932
2001-03,1908
2001-04,1275
2001-05,1528
2001-06,1634
2001-07,1200
2001-08,1174
2001-09,1598
2001-10,1624
2001-11,1054
2001-12,2338
2002-01,3343
2002-02,1117
2002-03,1748
2002-04,1503
2002-05,1689
2002-06,1594
2002-07,1341
2002-08,1320
2002-09,2071
2002-10,1524
2002-11,1463
2002-12,2125
2003-01,3230
2003-02,1339
2003-03,1799
2003-04,1481
2003-05,1119
2003-06,1878
2003-07,1514
2003-08,1356
2003-09,2424
2003-10,1721
2003-11,1365
2003-12,2385
2004-01,3382
2004-02,1438
2004-03,2155
2004-04,1682
2004-05,1462
2004-06,2153
2004-07,1856
2004-08,1695
2004-09,1855
2004-10,1852
2004-11,1557
2004-12,2316
2005-01,3495
2005-02,1232
2005-03,2081
2005-04,1794
2005-05,1587
2005-06,2401
2005-07,1928
2005-08,1809
2005-09,2071
2005-10,1959
2005-11,1791
2005-12,2226
2006-01,4135
2006-02,1424
2006-03,2138
