Year,Alianza Estratégica y Capital de Riesgo 
1993-01,3.7
1999-01,3.73
2000-01,3.65
2002-01,3.8
2004-01,3.95
2006-01,3.78
2008-01,3.82
2010-01,3.95
2012-01,3.82
2014-01,3.9
2017-01,3.93
2022-01,4.2
