Year,Planificación Estratégica Dinámica
1999-01,4.02
2000-01,3.93
2002-01,4.04
2004-01,4.14
2006-01,3.93
2008-01,4.01
2010-01,4.0
2012-01,3.91
2014-01,3.93
2017-01,4.03
2022-01,4.2
