Date,Cuadro de Mando Integral
1987-11,174
1987-12,322
1988-01,717
1988-02,186
1988-03,304
1988-04,193
1988-05,223
1988-06,333
1988-07,197
1988-08,248
1988-09,301
1988-10,229
1988-11,194
1988-12,333
1989-01,737
1989-02,195
1989-03,308
1989-04,288
1989-05,271
1989-06,362
1989-07,293
1989-08,264
1989-09,369
1989-10,218
1989-11,228
1989-12,406
1990-01,822
1990-02,227
1990-03,331
1990-04,331
1990-05,333
1990-06,268
1990-07,268
1990-08,278
1990-09,477
1990-10,271
1990-11,211
1990-12,324
1991-01,836
1991-02,215
1991-03,340
1991-04,349
1991-05,248
1991-06,392
1991-07,263
1991-08,257
1991-09,432
1991-10,285
1991-11,239
1991-12,324
1992-01,805
1992-02,256
1992-03,401
1992-04,335
1992-05,296
1992-06,554
1992-07,356
1992-08,305
1992-09,417
1992-10,329
1992-11,273
1992-12,400
1993-01,727
1993-02,278
1993-03,411
1993-04,365
1993-05,327
1993-06,566
1993-07,398
1993-08,336
1993-09,510
1993-10,314
1993-11,286
1993-12,436
1994-01,1075
1994-02,312
1994-03,513
1994-04,383
1994-05,384
1994-06,455
1994-07,294
1994-08,378
1994-09,455
1994-10,359
1994-11,298
1994-12,435
1995-01,1171
1995-02,312
1995-03,461
1995-04,339
1995-05,445
1995-06,492
1995-07,390
1995-08,328
1995-09,615
1995-10,327
1995-11,313
1995-12,449
1996-01,1186
1996-02,294
1996-03,563
1996-04,431
1996-05,425
1996-06,643
1996-07,431
1996-08,317
1996-09,492
1996-10,481
1996-11,424
1996-12,482
1997-01,1133
1997-02,346
1997-03,554
1997-04,400
1997-05,363
1997-06,634
1997-07,503
1997-08,366
1997-09,540
1997-10,402
1997-11,379
1997-12,488
1998-01,1147
1998-02,333
1998-03,532
1998-04,438
1998-05,445
1998-06,612
1998-07,477
1998-08,536
1998-09,627
1998-10,442
1998-11,432
1998-12,496
1999-01,1152
1999-02,325
1999-03,593
1999-04,453
1999-05,503
1999-06,614
1999-07,451
1999-08,624
1999-09,589
1999-10,401
1999-11,397
1999-12,569
2000-01,1296
2000-02,404
2000-03,671
2000-04,544
2000-05,571
2000-06,673
2000-07,574
2000-08,496
2000-09,628
2000-10,595
2000-11,494
2000-12,568
2001-01,1113
2001-02,351
2001-03,695
2001-04,505
2001-05,533
2001-06,732
2001-07,550
2001-08,488
2001-09,737
2001-10,593
2001-11,415
2001-12,809
2002-01,1413
2002-02,462
2002-03,747
2002-04,545
2002-05,628
2002-06,722
2002-07,529
2002-08,411
2002-09,816
2002-10,534
2002-11,443
2002-12,769
2003-01,1380
2003-02,496
2003-03,720
2003-04,567
2003-05,573
2003-06,836
2003-07,538
2003-08,553
2003-09,1043
2003-10,614
2003-11,521
2003-12,882
2004-01,1310
2004-02,582
2004-03,938
2004-04,720
2004-05,709
2004-06,1087
2004-07,848
2004-08,696
2004-09,922
2004-10,784
2004-11,603
2004-12,786
2005-01,1562
2005-02,564
2005-03,760
2005-04,741
2005-05,791
2005-06,1111
2005-07,683
2005-08,642
2005-09,864
2005-10,856
2005-11,635
2005-12,901
2006-01,1561
2006-02,638
2006-03,994
2006-04,983
2006-05,781
2006-06,1303
2006-07,1200
2006-08,1150
2006-09,1112
2006-10,2183
2006-11,1351
2006-12,1120
2007-01,1653
2007-02,751
2007-03,1139
2007-04,1088
2007-05,1277
2007-06,1735
2007-07,1318
2007-08,1637
2007-09,1405
2007-10,1570
2007-11,1027
2007-12,1548
2008-01,1664
2008-02,759
2008-03,1228
2008-04,1207
2008-05,1236
2008-06,2027
2008-07,1522
2008-08,1299
2008-09,1854
2008-10,2052
2008-11,1281
2008-12,2105
2009-01,1955
2009-02,1026
2009-03,1321
2009-04,1305
2009-05,1539
2009-06,2033
2009-07,1475
2009-08,2235
2009-09,2108
2009-10,1747
2009-11,1350
2009-12,2183
2010-01,2024
2010-02,1039
2010-03,1648
2010-04,1401
2010-05,1817
2010-06,3133
2010-07,2078
2010-08,2489
2010-09,2078
2010-10,2810
2010-11,1890
2010-12,2286
2011-01,2621
2011-02,1376
2011-03,1712
2011-04,2012
2011-05,2397
2011-06,2690
2011-07,2401
2011-08,2973
2011-09,3054
2011-10,2510
2011-11,1968
2011-12,2530
2012-01,3270
2012-02,1478
2012-03,2146
2012-04,1779
2012-05,2607
2012-06,2758
2012-07,2854
2012-08,2107
2012-09,2937
2012-10,2603
2012-11,2337
2012-12,3198
2013-01,2911
2013-02,1450
2013-03,2154
2013-04,1878
2013-05,2289
2013-06,3019
2013-07,2545
2013-08,2654
2013-09,3304
2013-10,3213
2013-11,2592
2013-12,2806
2014-01,3041
2014-02,1883
2014-03,2227
2014-04,2276
2014-05,2717
2014-06,3211
2014-07,2741
2014-08,2601
2014-09,3414
2014-10,3667
2014-11,2495
2014-12,3272
2015-01,3027
2015-02,1820
2015-03,3054
2015-04,2102
2015-05,2860
2015-06,2942
2015-07,2856
2015-08,2345
2015-09,3339
2015-10,3666
2015-11,2650
2015-12,3595
2016-01,3172
2016-02,1932
2016-03,2453
2016-04,2757
2016-05,3005
2016-06,3496
2016-07,3407
2016-08,2649
2016-09,3451
2016-10,3814
2016-11,2914
2016-12,3558
2017-01,2755
2017-02,2057
2017-03,3151
2017-04,2507
2017-05,3781
2017-06,3352
2017-07,3991
2017-08,3422
2017-09,3867
2017-10,4143
2017-11,3517
2017-12,4135
2018-01,3182
2018-02,2438
2018-03,3210
2018-04,3050
2018-05,3699
2018-06,3972
2018-07,4296
2018-08,3865
2018-09,3990
2018-10,4999
2018-11,3456
2018-12,4239
2019-01,3476
2019-02,2589
2019-03,3734
2019-04,3303
2019-05,3666
2019-06,4359
2019-07,3999
2019-08,3820
2019-09,3998
2019-10,5028
2019-11,4578
2019-12,5062
2020-01,3639
2020-02,3053
2020-03,3718
2020-04,3184
2020-05,3300
2020-06,4388
2020-07,4373
2020-08,3941
2020-09,4445
2020-10,4836
2020-11,4575
2020-12,6338
2021-01,4037
2021-02,3241
2021-03,4209
2021-04,3801
2021-05,4165
2021-06,4655
2021-07,4040
2021-08,4159
2021-09,4405
2021-10,4889
2021-11,4275
2021-12,5790
2022-01,4140
2022-02,3207
2022-03,3949
2022-04,3818
2022-05,4166
2022-06,5034
2022-07,4358
2022-08,4763
2022-09,4754
2022-10,4932
2022-11,4863
2022-12,6863
2023-01,4251
2023-02,3528
2023-03,4490
2023-04,3941
2023-05,5041
2023-06,5287
2023-07,4670
2023-08,5032
2023-09,5690
2023-10,5412
2023-11,5292
2023-12,7021
2024-01,4925
2024-02,4145
2024-03,4562
2024-04,4979
2024-05,5970
2024-06,5732
2024-07,5512
2024-08,5557
2024-09,5313
2024-10,5656
2024-11,5407
2024-12,6221
2025-01,4216
2025-02,2973
