Year,Competencias Centrales
1993-01,57.0
1996-01,69.0
1999-01,50.0
2000-01,52.8
2002-01,75.0
2004-01,65.0
2006-01,79.0
2008-01,48.0
2010-01,46.0
2012-01,26.0
2014-01,29.0
2017-01,30.0
