Date,Calidad Total
1986-04,1860
1986-05,1809
1986-06,1994
1986-07,1752
1986-08,1861
1986-09,2165
1986-10,1869
1986-11,2050
1986-12,8000
1987-01,7600
1987-02,1990
1987-03,2304
1987-04,1970
1987-05,2083
1987-06,2247
1987-07,2001
1987-08,2230
1987-09,2299
1987-10,1896
1987-11,2008
1987-12,9260
1988-01,9002
1988-02,2208
1988-03,2434
1988-04,2015
1988-05,2100
1988-06,2394
1988-07,2127
1988-08,2204
1988-09,2294
1988-10,2012
1988-11,2139
1988-12,8962
1989-01,8678
1989-02,2603
1989-03,2696
1989-04,2206
1989-05,2383
1989-06,2550
1989-07,2327
1989-08,2612
1989-09,2694
1989-10,2139
1989-11,2253
1989-12,10365
1990-01,10036
1990-02,2742
1990-03,3048
1990-04,2614
1990-05,2698
1990-06,2859
1990-07,2448
1990-08,2754
1990-09,2979
1990-10,2351
1990-11,2563
1990-12,10667
1991-01,10199
1991-02,2763
1991-03,3262
1991-04,2889
1991-05,2826
1991-06,2913
1991-07,2479
1991-08,2843
1991-09,3238
1991-10,2565
1991-11,2701
1991-12,10288
1992-01,9844
1992-02,3253
1992-03,3610
1992-04,3144
1992-05,3411
1992-06,3436
1992-07,2785
1992-08,3216
1992-09,3502
1992-10,2853
1992-11,2962
1992-12,11775
1993-01,11307
1993-02,3652
1993-03,3821
1993-04,3449
1993-05,3652
1993-06,3618
1993-07,3078
1993-08,3654
1993-09,3852
1993-10,2968
1993-11,3393
1993-12,12906
1994-01,12191
1994-02,3815
1994-03,4152
1994-04,3342
1994-05,4110
1994-06,4065
1994-07,3279
1994-08,3756
1994-09,4001
1994-10,3265
1994-11,3837
1994-12,14577
1995-01,13669
1995-02,3945
1995-03,4248
1995-04,3722
1995-05,4194
1995-06,4305
1995-07,3637
1995-08,4087
1995-09,4529
1995-10,3832
1995-11,4124
1995-12,14637
1996-01,13930
1996-02,4367
1996-03,4772
1996-04,3953
1996-05,4362
1996-06,4858
1996-07,4114
1996-08,4323
1996-09,4626
1996-10,3904
1996-11,4376
1996-12,16055
1997-01,15331
1997-02,4682
1997-03,4751
1997-04,4162
1997-05,4781
1997-06,5085
1997-07,4124
1997-08,4567
1997-09,4902
1997-10,4109
1997-11,4626
1997-12,16326
1998-01,15522
1998-02,4685
1998-03,5413
1998-04,4564
1998-05,4889
1998-06,5426
1998-07,4392
1998-08,4917
1998-09,5132
1998-10,4255
1998-11,4778
1998-12,17821
1999-01,16782
1999-02,5092
1999-03,5616
1999-04,4749
1999-05,5209
1999-06,5401
1999-07,4730
1999-08,5514
1999-09,5529
1999-10,4644
1999-11,5166
1999-12,20109
2000-01,18987
2000-02,5284
2000-03,6248
2000-04,5239
2000-05,5386
2000-06,5927
2000-07,4864
2000-08,5491
2000-09,5895
2000-10,5255
2000-11,5351
2000-12,20601
2001-01,19360
2001-02,5319
2001-03,6375
2001-04,5218
2001-05,5938
2001-06,5958
2001-07,5034
2001-08,5737
2001-09,6148
2001-10,6019
2001-11,5770
2001-12,22275
2002-01,20853
2002-02,5654
2002-03,6385
2002-04,5514
2002-05,6196
2002-06,6084
2002-07,5469
2002-08,6148
2002-09,6953
2002-10,5858
2002-11,6367
2002-12,23957
2003-01,22708
2003-02,6364
2003-03,6925
2003-04,5741
2003-05,6031
2003-06,6899
2003-07,5925
2003-08,6752
2003-09,8038
2003-10,6186
2003-11,7133
2003-12,25566
2004-01,24307
2004-02,7042
2004-03,7828
2004-04,6654
2004-05,7337
2004-06,8614
2004-07,7042
2004-08,7613
2004-09,7777
2004-10,7108
2004-11,7537
2004-12,25673
2005-01,24012
2005-02,7112
2005-03,8148
2005-04,7116
2005-05,8209
2005-06,8715
2005-07,7236
2005-08,7957
2005-09,8313
2005-10,7544
2005-11,8172
2005-12,29519
2006-01,28507
2006-02,7517
2006-03,8704
2006-04,7991
2006-05,8938
2006-06,9976
2006-07,8640
2006-08,9614
2006-09,9961
2006-10,9582
2006-11,9549
2006-12,28223
2007-01,27248
2007-02,8608
2007-03,10032
2007-04,8838
2007-05,10425
2007-06,10526
2007-07,9694
2007-08,10651
2007-09,10196
2007-10,9688
2007-11,11184
2007-12,33668
2008-01,30416
2008-02,8924
2008-03,10291
2008-04,10103
2008-05,10470
2008-06,10750
2008-07,9843
2008-08,10982
2008-09,12670
2008-10,11223
2008-11,11446
2008-12,38031
2009-01,34894
2009-02,10237
2009-03,11283
2009-04,10826
2009-05,10937
2009-06,11870
2009-07,10906
2009-08,13783
2009-09,14560
2009-10,11064
2009-11,12061
2009-12,42739
2010-01,40283
2010-02,9991
2010-03,12504
2010-04,11658
2010-05,13476
2010-06,14202
