Date,Gestión del Conocimiento
1950-01,64
1950-02,11
1950-03,6
1950-04,54
1950-05,15
1950-06,20
1950-07,54
1950-08,12
1950-09,24
1950-10,59
1950-11,14
1950-12,26
1951-01,73
1951-02,12
1951-03,25
1951-04,39
1951-05,23
1951-06,9
1951-07,54
1951-08,13
1951-09,26
1951-10,42
1951-11,28
1951-12,59
1952-01,75
1952-02,13
1952-03,31
1952-04,49
1952-05,30
1952-06,11
1952-07,81
1952-08,14
1952-09,34
1952-10,40
1952-11,30
1952-12,51
1953-01,104
1953-02,14
1953-03,29
1953-04,44
1953-05,54
1953-06,23
1953-07,62
1953-08,17
1953-09,22
1953-10,53
1953-11,27
1953-12,24
1954-01,67
1954-02,36
1954-03,29
1954-04,50
1954-05,37
1954-06,19
1954-07,61
1954-08,26
1954-09,34
1954-10,55
1954-11,44
1954-12,57
1955-01,96
1955-02,23
1955-03,43
1955-04,63
1955-05,42
1955-06,20
1955-07,60
1955-08,23
1955-09,39
1955-10,65
1955-11,30
1955-12,37
1956-01,81
1956-02,14
1956-03,38
1956-04,75
1956-05,36
1956-06,22
1956-07,73
1956-08,20
1956-09,44
1956-10,60
1956-11,44
1956-12,36
1957-01,89
1957-02,46
1957-03,37
1957-04,64
1957-05,50
1957-06,36
1957-07,68
1957-08,39
1957-09,48
1957-10,64
1957-11,41
1957-12,46
1958-01,94
1958-02,26
1958-03,59
1958-04,81
1958-05,37
1958-06,30
1958-07,87
1958-08,33
1958-09,54
1958-10,86
1958-11,35
1958-12,70
1959-01,111
1959-02,30
1959-03,48
1959-04,100
1959-05,40
1959-06,32
1959-07,103
1959-08,31
1959-09,60
1959-10,73
1959-11,47
1959-12,64
1960-01,140
1960-02,14
1960-03,63
1960-04,78
1960-05,35
1960-06,33
1960-07,108
1960-08,18
1960-09,57
1960-10,84
1960-11,31
1960-12,105
1961-01,119
1961-02,38
1961-03,57
1961-04,84
1961-05,41
1961-06,41
1961-07,102
1961-08,74
1961-09,94
1961-10,76
1961-11,52
1961-12,98
1962-01,107
1962-02,25
1962-03,69
1962-04,94
1962-05,45
1962-06,48
1962-07,131
1962-08,64
1962-09,82
1962-10,103
1962-11,66
1962-12,130
1963-01,153
1963-02,52
1963-03,107
1963-04,111
1963-05,75
1963-06,69
1963-07,141
1963-08,39
1963-09,84
1963-10,120
1963-11,88
1963-12,149
1964-01,139
1964-02,49
1964-03,96
1964-04,98
1964-05,86
1964-06,79
1964-07,131
1964-08,35
1964-09,105
1964-10,105
1964-11,94
1964-12,155
1965-01,161
1965-02,81
1965-03,127
1965-04,132
1965-05,106
1965-06,98
1965-07,164
1965-08,55
1965-09,116
1965-10,173
1965-11,94
1965-12,166
1966-01,170
1966-02,86
1966-03,106
1966-04,119
1966-05,134
1966-06,97
1966-07,157
1966-08,71
1966-09,109
1966-10,136
1966-11,102
1966-12,175
1967-01,164
1967-02,112
1967-03,160
1967-04,143
1967-05,113
1967-06,127
1967-07,144
1967-08,87
1967-09,134
1967-10,123
1967-11,103
1967-12,161
1968-01,145
1968-02,103
1968-03,143
1968-04,143
1968-05,138
1968-06,96
1968-07,167
1968-08,80
1968-09,139
1968-10,156
1968-11,102
1968-12,168
1969-01,188
1969-02,89
1969-03,125
1969-04,123
1969-05,96
1969-06,81
1969-07,152
1969-08,79
1969-09,132
1969-10,152
1969-11,101
1969-12,223
1970-01,472
1970-02,92
1970-03,134
1970-04,142
1970-05,122
1970-06,107
1970-07,162
1970-08,119
1970-09,151
1970-10,184
1970-11,124
1970-12,155
1971-01,227
1971-02,130
1971-03,179
1971-04,167
1971-05,150
1971-06,142
1971-07,174
1971-08,130
1971-09,181
1971-10,181
1971-11,121
1971-12,205
1972-01,230
1972-02,127
1972-03,169
1972-04,232
1972-05,145
1972-06,145
1972-07,248
1972-08,159
1972-09,177
1972-10,235
1972-11,130
1972-12,205
1973-01,275
1973-02,179
1973-03,222
1973-04,168
1973-05,181
1973-06,167
1973-07,198
1973-08,172
1973-09,204
1973-10,217
1973-11,147
1973-12,203
1974-01,256
1974-02,165
1974-03,261
1974-04,180
1974-05,237
1974-06,232
1974-07,190
1974-08,188
1974-09,278
1974-10,232
1974-11,192
1974-12,252
1975-01,309
1975-02,161
1975-03,275
1975-04,251
1975-05,179
1975-06,254
1975-07,224
1975-08,210
1975-09,262
1975-10,222
1975-11,162
1975-12,295
1976-01,448
1976-02,152
1976-03,251
1976-04,290
1976-05,192
1976-06,246
1976-07,285
1976-08,210
1976-09,265
1976-10,301
1976-11,179
1976-12,290
1977-01,520
1977-02,180
1977-03,300
1977-04,295
1977-05,214
1977-06,256
1977-07,303
1977-08,181
1977-09,268
1977-10,280
1977-11,192
1977-12,332
1978-01,559
1978-02,170
1978-03,319
1978-04,304
1978-05,215
1978-06,228
1978-07,382
1978-08,192
1978-09,253
1978-10,320
1978-11,224
1978-12,339
1979-01,577
1979-02,195
1979-03,379
1979-04,303
1979-05,226
1979-06,395
1979-07,300
1979-08,182
1979-09,312
1979-10,300
1979-11,224
1979-12,364
1980-01,680
1980-02,211
1980-03,421
1980-04,336
1980-05,232
1980-06,359
1980-07,335
1980-08,200
1980-09,358
1980-10,357
1980-11,246
1980-12,394
1981-01,758
1981-02,218
1981-03,456
1981-04,326
1981-05,228
1981-06,359
1981-07,427
1981-08,237
1981-09,408
1981-10,335
1981-11,215
1981-12,428
1982-01,853
1982-02,232
1982-03,462
1982-04,390
1982-05,267
1982-06,431
1982-07,377
1982-08,203
1982-09,432
1982-10,336
1982-11,280
1982-12,452
1983-01,905
1983-02,271
1983-03,531
1983-04,363
1983-05,297
1983-06,433
1983-07,425
1983-08,244
1983-09,491
1983-10,328
1983-11,317
1983-12,412
1984-01,1144
1984-02,330
1984-03,511
1984-04,403
1984-05,314
1984-06,468
1984-07,457
1984-08,305
1984-09,485
1984-10,380
1984-11,326
1984-12,495
1985-01,1265
1985-02,337
1985-03,540
1985-04,445
1985-05,352
1985-06,440
1985-07,487
1985-08,281
1985-09,534
1985-10,335
1985-11,332
1985-12,583
1986-01,1405
1986-02,298
1986-03,607
1986-04,391
1986-05,435
1986-06,479
1986-07,465
1986-08,290
1986-09,604
1986-10,449
1986-11,403
1986-12,600
1987-01,1305
1987-02,345
1987-03,661
1987-04,550
1987-05,370
1987-06,604
