Date,Gestión del Conocimiento
1950-01,52
1950-02,7
1950-03,5
1950-04,50
1950-05,9
1950-06,15
1950-07,49
1950-08,9
1950-09,16
1950-10,52
1950-11,7
1950-12,20
1951-01,65
1951-02,8
1951-03,23
1951-04,32
1951-05,18
1951-06,6
1951-07,48
1951-08,9
1951-09,19
1951-10,32
1951-11,22
1951-12,48
1952-01,69
1952-02,7
1952-03,25
1952-04,42
1952-05,21
1952-06,9
1952-07,75
1952-08,9
1952-09,25
1952-10,32
1952-11,23
1952-12,39
1953-01,99
1953-02,8
1953-03,21
1953-04,40
1953-05,45
1953-06,16
1953-07,49
1953-08,12
1953-09,19
1953-10,44
1953-11,23
1953-12,18
1954-01,59
1954-02,27
1954-03,27
1954-04,47
1954-05,26
1954-06,11
1954-07,55
1954-08,24
1954-09,27
1954-10,47
1954-11,36
1954-12,46
1955-01,81
1955-02,18
1955-03,33
1955-04,55
1955-05,31
1955-06,10
1955-07,53
1955-08,19
1955-09,33
1955-10,57
1955-11,21
1955-12,20
1956-01,72
1956-02,10
1956-03,32
1956-04,65
1956-05,25
1956-06,18
1956-07,64
1956-08,12
1956-09,36
1956-10,53
1956-11,41
1956-12,30
1957-01,78
1957-02,39
1957-03,29
1957-04,53
1957-05,36
1957-06,29
1957-07,62
1957-08,32
1957-09,38
1957-10,52
1957-11,35
1957-12,37
1958-01,85
1958-02,21
1958-03,56
1958-04,78
1958-05,29
1958-06,20
1958-07,75
1958-08,26
1958-09,46
1958-10,76
1958-11,28
1958-12,57
1959-01,101
1959-02,23
1959-03,43
1959-04,92
1959-05,30
1959-06,26
1959-07,87
1959-08,26
1959-09,50
1959-10,62
1959-11,44
1959-12,54
1960-01,135
1960-02,7
1960-03,57
1960-04,69
1960-05,30
1960-06,23
1960-07,98
1960-08,15
1960-09,50
1960-10,73
1960-11,29
1960-12,80
1961-01,103
1961-02,33
1961-03,50
1961-04,77
1961-05,35
1961-06,29
1961-07,95
1961-08,68
1961-09,75
1961-10,72
1961-11,42
1961-12,88
1962-01,102
