Year,Cuadro de Mando Integral
2000-01,3.85
2002-01,3.88
2004-01,3.86
2006-01,3.6
2008-01,3.83
2010-01,3.9
2012-01,3.9
2014-01,3.9
2017-01,3.93
2022-01,4.1
