Date,Fusiones y Adquisiciones
1969-04,0.00E+00
1969-05,0.00E+00
1969-06,0.00E+00
1969-07,0.00E+00
1969-08,4.52E-03
1969-09,0.00E+00
1969-10,0.00E+00
1969-11,0.00E+00
1969-12,0.00E+00
1970-01,1.57E-03
1970-02,0.00E+00
1970-03,0.00E+00
1970-04,0.00E+00
1970-05,0.00E+00
1970-06,0.00E+00
1970-07,0.00E+00
1970-08,0.00E+00
1970-09,3.21E-03
1970-10,0.00E+00
1970-11,0.00E+00
1970-12,0.00E+00
1971-01,0.00E+00
1971-02,0.00E+00
1971-03,3.05E-03
1971-04,0.00E+00
1971-05,0.00E+00
1971-06,0.00E+00
1971-07,0.00E+00
1971-08,0.00E+00
1971-09,0.00E+00
1971-10,0.00E+00
1971-11,0.00E+00
1971-12,0.00E+00
1972-01,0.00E+00
1972-02,0.00E+00
1972-03,0.00E+00
1972-04,0.00E+00
1972-05,6.80E-03
1972-06,0.00E+00
1972-07,0.00E+00
1972-08,0.00E+00
1972-09,0.00E+00
1972-10,0.00E+00
1972-11,0.00E+00
1972-12,0.00E+00
1973-01,0.00E+00
1973-02,0.00E+00
1973-03,0.00E+00
1973-04,0.00E+00
1973-05,0.00E+00
1973-06,0.00E+00
1973-07,0.00E+00
1973-08,0.00E+00
1973-09,0.00E+00
1973-10,0.00E+00
1973-11,0.00E+00
1973-12,0.00E+00
1974-01,0.00E+00
1974-02,0.00E+00
1974-03,0.00E+00
1974-04,0.00E+00
1974-05,0.00E+00
1974-06,0.00E+00
1974-07,0.00E+00
1974-08,3.38E-03
1974-09,0.00E+00
1974-10,0.00E+00
1974-11,0.00E+00
1974-12,0.00E+00
1975-01,5.31E-04
1975-02,0.00E+00
1975-03,2.58E-03
1975-04,0.00E+00
1975-05,0.00E+00
1975-06,0.00E+00
1975-07,0.00E+00
1975-08,0.00E+00
1975-09,0.00E+00
1975-10,0.00E+00
1975-11,2.97E-03
1975-12,0.00E+00
1976-01,0.00E+00
1976-02,0.00E+00
1976-03,0.00E+00
1976-04,0.00E+00
1976-05,0.00E+00
1976-06,0.00E+00
1976-07,0.00E+00
1976-08,0.00E+00
1976-09,0.00E+00
1976-10,0.00E+00
1976-11,0.00E+00
1976-12,0.00E+00
1977-01,0.00E+00
1977-02,0.00E+00
1977-03,0.00E+00
1977-04,0.00E+00
1977-05,0.00E+00
1977-06,0.00E+00
1977-07,0.00E+00
1977-08,0.00E+00
1977-09,0.00E+00
1977-10,0.00E+00
1977-11,0.00E+00
1977-12,0.00E+00
1978-01,4.36E-04
1978-02,0.00E+00
1978-03,0.00E+00
1978-04,0.00E+00
1978-05,0.00E+00
1978-06,0.00E+00
1978-07,0.00E+00
1978-08,0.00E+00
1978-09,0.00E+00
1978-10,0.00E+00
1978-11,0.00E+00
1978-12,0.00E+00
1979-01,0.00E+00
1979-02,0.00E+00
1979-03,0.00E+00
1979-04,0.00E+00
1979-05,0.00E+00
1979-06,0.00E+00
1979-07,0.00E+00
1979-08,0.00E+00
1979-09,0.00E+00
1979-10,0.00E+00
