Year,Segmentación de Clientes
1999-01,52.0
2000-01,53.7
2002-01,79.0
2004-01,72.0
2006-01,82.0
2008-01,53.0
2010-01,42.0
2012-01,33.0
2014-01,30.0
2017-01,27.0
