Year,Benchmarking
1993-01,70.0
1996-01,79.0
1999-01,77.0
2000-01,76.2
2002-01,84.0
2004-01,73.0
2006-01,81.0
2008-01,76.0
2010-01,67.0
2012-01,28.0
2014-01,44.0
2017-01,46.0
