Date,Gestión del Cambio
1987-06,1179
1987-07,1223
1987-08,597
1987-09,1273
1987-10,593
1987-11,718
1987-12,1620
1988-01,2608
1988-02,673
1988-03,1467
1988-04,1029
1988-05,693
1988-06,1222
1988-07,933
1988-08,782
1988-09,1110
1988-10,891
1988-11,760
1988-12,1652
1989-01,2811
1989-02,784
1989-03,1774
1989-04,1156
1989-05,807
1989-06,1268
1989-07,1061
1989-08,1181
1989-09,1271
1989-10,1365
1989-11,703
1989-12,1984
1990-01,3197
1990-02,1004
1990-03,1741
1990-04,1407
1990-05,1064
1990-06,1527
1990-07,1449
1990-08,927
1990-09,1503
1990-10,1366
1990-11,727
1990-12,2994
1991-01,3600
1991-02,729
1991-03,1716
1991-04,1520
1991-05,1021
1991-06,1555
1991-07,1665
1991-08,777
1991-09,1721
1991-10,1368
1991-11,792
1991-12,2668
1992-01,2823
1992-02,1028
1992-03,2458
1992-04,1501
1992-05,1885
1992-06,2127
1992-07,1609
1992-08,844
1992-09,1941
1992-10,1389
1992-11,1009
1992-12,2675
1993-01,3214
1993-02,1096
1993-03,1962
1993-04,1595
1993-05,1493
1993-06,1808
1993-07,1432
1993-08,1335
1993-09,2081
1993-10,1657
1993-11,892
1993-12,3047
1994-01,3751
1994-02,1044
1994-03,2316
1994-04,1451
1994-05,1260
1994-06,2765
1994-07,1432
1994-08,1148
1994-09,1986
1994-10,1701
1994-11,1209
1994-12,3075
1995-01,3564
1995-02,1268
1995-03,2456
1995-04,1623
1995-05,1415
1995-06,2314
1995-07,1781
1995-08,1456
1995-09,2582
1995-10,1548
1995-11,1364
1995-12,3192
1996-01,4327
1996-02,1329
1996-03,2939
1996-04,2065
1996-05,1588
1996-06,2603
1996-07,2176
1996-08,1396
1996-09,2419
1996-10,1710
1996-11,1534
1996-12,3005
1997-01,3652
1997-02,1601
1997-03,2552
1997-04,1921
1997-05,1364
1997-06,2858
1997-07,2043
1997-08,1402
1997-09,2001
1997-10,2092
1997-11,1322
1997-12,3463
1998-01,4051
1998-02,1221
1998-03,2814
1998-04,1956
1998-05,1420
1998-06,2737
1998-07,2262
1998-08,1623
1998-09,2914
1998-10,2133
1998-11,1363
1998-12,3507
1999-01,3961
1999-02,1699
1999-03,2621
1999-04,2113
1999-05,1496
1999-06,2522
1999-07,2401
1999-08,2039
1999-09,2683
1999-10,2413
1999-11,2226
1999-12,3507
2000-01,5183
2000-02,1595
2000-03,3008
2000-04,2111
2000-05,1708
2000-06,2922
2000-07,2545
2000-08,2121
2000-09,3217
2000-10,2472
2000-11,2148
2000-12,4403
2001-01,5217
2001-02,1514
2001-03,3160
2001-04,2446
2001-05,2212
2001-06,3373
2001-07,2242
2001-08,2484
2001-09,3302
2001-10,3152
2001-11,2017
2001-12,4964
2002-01,5359
2002-02,1835
2002-03,3351
2002-04,3064
2002-05,2042
2002-06,3035
2002-07,2718
2002-08,2690
2002-09,4482
2002-10,2837
2002-11,3156
2002-12,4277
2003-01,5285
2003-02,2562
2003-03,3577
2003-04,2987
2003-05,1845
2003-06,4111
2003-07,2466
2003-08,3659
2003-09,5686
2003-10,3133
2003-11,2376
2003-12,5733
2004-01,5740
2004-02,2969
2004-03,3985
2004-04,3103
2004-05,2357
2004-06,4339
2004-07,4131
2004-08,3453
2004-09,3642
2004-10,3522
2004-11,2833
2004-12,4696
2005-01,5787
2005-02,2530
2005-03,3819
2005-04,3016
2005-05,2888
2005-06,4996
2005-07,4458
2005-08,3968
2005-09,3867
2005-10,3726
2005-11,2894
2005-12,5370
2006-01,6922
2006-02,2479
2006-03,4401
2006-04,4197
2006-05,4374
2006-06,4367
2006-07,4195
2006-08,4344
2006-09,4864
2006-10,3908
2006-11,3970
2006-12,5454
2007-01,6844
2007-02,3882
2007-03,5600
2007-04,3733
2007-05,4907
2007-06,6441
2007-07,4835
2007-08,5332
2007-09,4485
2007-10,5251
2007-11,4514
2007-12,6611
2008-01,6649
2008-02,3574
2008-03,4843
2008-04,4150
2008-05,4094
2008-06,5790
2008-07,4852
2008-08,3949
2008-09,6895
2008-10,5485
2008-11,5372
2008-12,8049
2009-01,6701
2009-02,7207
2009-03,5262
2009-04,4798
2009-05,4925
2009-06,6067
2009-07,5717
2009-08,5657
2009-09,8613
2009-10,6376
2009-11,5031
2009-12,7538
2010-01,9002
2010-02,4410
2010-03,7536
2010-04,5460
2010-05,7565
2010-06,6678
2010-07,6237
2010-08,7768
2010-09,6789
2010-10,6889
2010-11,8181
2010-12,8247
2011-01,8587
2011-02,5990
2011-03,7367
2011-04,6052
2011-05,12979
2011-06,8106
2011-07,5812
2011-08,8577
2011-09,8952
2011-10,7066
2011-11,8145
2011-12,9412
2012-01,16958
2012-02,7064
2012-03,9668
2012-04,7824
2012-05,8439
2012-06,9765
2012-07,11313
2012-08,8240
2012-09,9086
2012-10,10031
2012-11,9706
2012-12,11809
2013-01,14905
2013-02,6976
2013-03,9648
2013-04,8258
2013-05,9237
2013-06,9824
2013-07,9346
2013-08,7517
2013-09,10813
2013-10,11806
2013-11,9398
2013-12,11951
2014-01,13673
2014-02,6525
2014-03,9051
2014-04,8943
2014-05,7713
2014-06,9655
2014-07,9725
2014-08,8705
2014-09,9966
2014-10,10456
2014-11,9321
2014-12,11197
2015-01,14230
2015-02,6712
2015-03,9869
2015-04,8384
2015-05,7558
2015-06,10004
2015-07,9656
2015-08,8528
2015-09,9862
2015-10,10806
2015-11,9376
2015-12,12521
2016-01,13487
2016-02,8447
2016-03,9445
2016-04,13791
2016-05,9617
2016-06,10743
2016-07,9686
2016-08,8860
2016-09,11074
2016-10,10758
2016-11,10741
2016-12,13778
2017-01,10299
2017-02,7919
2017-03,12210
2017-04,9000
2017-05,11270
2017-06,11971
2017-07,14747
2017-08,13227
2017-09,18594
2017-10,13680
2017-11,13350
2017-12,16578
2018-01,12021
2018-02,10008
2018-03,12635
2018-04,13092
2018-05,12136
2018-06,12379
2018-07,12388
2018-08,14137
2018-09,13352
2018-10,15165
2018-11,11178
2018-12,16975
2019-01,13482
2019-02,8981
2019-03,14224
2019-04,12203
2019-05,14216
2019-06,15680
2019-07,14321
2019-08,15667
2019-09,16262
2019-10,13908
2019-11,15741
2019-12,21549
2020-01,16557
2020-02,12389
2020-03,15435
2020-04,13325
2020-05,11523
2020-06,15855
2020-07,16289
2020-08,17535
2020-09,15726
2020-10,14980
2020-11,15855
2020-12,30528
2021-01,15178
2021-02,12867
2021-03,18246
2021-04,15580
2021-05,13432
2021-06,18497
2021-07,15012
