Date,Calidad Total
1987-12,308
1988-01,865
1988-02,215
1988-03,320
1988-04,314
1988-05,215
1988-06,352
1988-07,328
1988-08,286
1988-09,275
1988-10,316
1988-11,248
1988-12,309
1989-01,939
1989-02,333
1989-03,352
1989-04,341
1989-05,257
1989-06,410
1989-07,325
1989-08,338
1989-09,366
1989-10,329
1989-11,269
1989-12,365
1990-01,1032
1990-02,321
1990-03,393
1990-04,396
1990-05,306
1990-06,358
1990-07,388
1990-08,224
1990-09,497
1990-10,298
1990-11,322
1990-12,365
1991-01,1102
1991-02,252
1991-03,410
1991-04,398
1991-05,376
1991-06,379
1991-07,419
1991-08,218
1991-09,483
1991-10,390
1991-11,270
1991-12,488
1992-01,1014
1992-02,311
1992-03,546
1992-04,461
1992-05,467
1992-06,502
1992-07,443
1992-08,306
1992-09,570
1992-10,373
1992-11,276
1992-12,494
1993-01,1307
1993-02,547
1993-03,596
1993-04,488
1993-05,457
1993-06,546
1993-07,417
1993-08,382
1993-09,570
1993-10,444
1993-11,378
1993-12,566
1994-01,1162
1994-02,363
1994-03,661
1994-04,499
1994-05,469
1994-06,634
1994-07,475
1994-08,395
1994-09,638
1994-10,449
1994-11,352
1994-12,871
1995-01,1161
1995-02,375
1995-03,656
1995-04,530
1995-05,441
1995-06,652
1995-07,566
1995-08,337
1995-09,723
1995-10,471
1995-11,454
1995-12,702
1996-01,1177
1996-02,445
1996-03,684
1996-04,548
1996-05,420
1996-06,657
1996-07,682
1996-08,412
1996-09,704
1996-10,579
1996-11,427
1996-12,690
1997-01,1096
1997-02,600
1997-03,612
1997-04,541
1997-05,458
1997-06,740
1997-07,480
1997-08,434
1997-09,754
1997-10,522
1997-11,557
1997-12,729
1998-01,1115
1998-02,382
1998-03,736
1998-04,650
1998-05,530
1998-06,816
1998-07,706
1998-08,613
1998-09,748
1998-10,576
1998-11,498
1998-12,805
1999-01,940
1999-02,575
1999-03,850
1999-04,587
1999-05,494
1999-06,746
1999-07,746
1999-08,566
1999-09,823
1999-10,586
1999-11,623
1999-12,833
2000-01,1210
2000-02,497
2000-03,779
2000-04,806
2000-05,577
2000-06,749
2000-07,745
2000-08,599
2000-09,866
2000-10,780
2000-11,528
2000-12,799
2001-01,1146
2001-02,527
2001-03,819
2001-04,727
2001-05,718
2001-06,884
2001-07,669
2001-08,520
2001-09,834
2001-10,792
2001-11,576
2001-12,1321
2002-01,1410
2002-02,569
2002-03,881
2002-04,749
2002-05,663
2002-06,806
2002-07,741
2002-08,621
2002-09,1037
2002-10,755
2002-11,694
2002-12,988
2003-01,1451
2003-02,636
2003-03,906
2003-04,787
2003-05,623
2003-06,942
2003-07,831
2003-08,783
2003-09,1104
2003-10,866
2003-11,745
2003-12,1216
2004-01,1264
2004-02,823
2004-03,1000
2004-04,961
2004-05,728
2004-06,1119
2004-07,924
2004-08,848
2004-09,908
2004-10,1243
2004-11,825
2004-12,1106
2005-01,1549
2005-02,681
2005-03,970
2005-04,927
2005-05,870
2005-06,1129
2005-07,927
2005-08,894
2005-09,950
2005-10,986
2005-11,905
2005-12,1048
2006-01,1753
2006-02,644
2006-03,1012
2006-04,1096
2006-05,973
2006-06,1148
2006-07,1139
2006-08,1116
2006-09,1207
2006-10,1304
2006-11,1027
2006-12,1144
2007-01,1692
2007-02,921
2007-03,1282
2007-04,1061
2007-05,1146
2007-06,1415
2007-07,986
2007-08,1303
2007-09,1139
2007-10,1314
2007-11,1064
2007-12,1625
2008-01,1760
2008-02,964
2008-03,1258
2008-04,1179
2008-05,1064
2008-06,1307
2008-07,1128
2008-08,983
2008-09,1707
2008-10,1545
2008-11,1227
2008-12,1731
2009-01,1644
2009-02,1014
2009-03,1391
2009-04,1380
2009-05,1158
2009-06,1453
2009-07,1285
2009-08,1298
2009-09,1950
2009-10,1518
2009-11,1169
2009-12,1611
2010-01,2071
2010-02,897
2010-03,1546
2010-04,1429
2010-05,1385
2010-06,1674
2010-07,1530
2010-08,1734
2010-09,1705
2010-10,1791
2010-11,1701
2010-12,1595
2011-01,2013
2011-02,1129
2011-03,1625
2011-04,1403
2011-05,1618
2011-06,1941
2011-07,1499
2011-08,1972
2011-09,2098
2011-10,1573
2011-11,2061
2011-12,1934
2012-01,2747
2012-02,1278
2012-03,1775
2012-04,1695
2012-05,2024
2012-06,2254
2012-07,1846
2012-08,1654
2012-09,1994
2012-10,2094
2012-11,2040
2012-12,2228
2013-01,2496
2013-02,1410
2013-03,1844
2013-04,1663
2013-05,1760
2013-06,2123
2013-07,1974
2013-08,1555
2013-09,2186
2013-10,2311
2013-11,1868
2013-12,2111
2014-01,2590
2014-02,1685
2014-03,2158
2014-04,1782
2014-05,1938
2014-06,2121
2014-07,2795
2014-08,1937
2014-09,2573
2014-10,2254
2014-11,2064
2014-12,2331
2015-01,2365
2015-02,1542
2015-03,2013
2015-04,1744
2015-05,2064
2015-06,2128
2015-07,1804
2015-08,1656
2015-09,2050
2015-10,2513
2015-11,1949
2015-12,2547
2016-01,2613
2016-02,1804
2016-03,2323
2016-04,2958
2016-05,2036
2016-06,2291
2016-07,1947
2016-08,1924
2016-09,2531
2016-10,2763
2016-11,2441
2016-12,2734
2017-01,2477
2017-02,1957
2017-03,2733
2017-04,2122
2017-05,2318
2017-06,2421
2017-07,2741
2017-08,2087
2017-09,3203
2017-10,2636
2017-11,2868
2017-12,3660
2018-01,2677
2018-02,2012
2018-03,2702
2018-04,2895
2018-05,2973
2018-06,3074
2018-07,2838
2018-08,2574
2018-09,3519
2018-10,3710
2018-11,2559
2018-12,3642
2019-01,2838
2019-02,2790
2019-03,3680
2019-04,3070
2019-05,3090
2019-06,3518
2019-07,3047
2019-08,2947
2019-09,3361
2019-10,3672
2019-11,3974
2019-12,4035
2020-01,3024
2020-02,3279
2020-03,3818
2020-04,3315
2020-05,3409
2020-06,3654
2020-07,3837
2020-08,3403
2020-09,3896
2020-10,3838
2020-11,4003
2020-12,4826
2021-01,3778
2021-02,3287
2021-03,4202
2021-04,3641
2021-05,3611
2021-06,4267
2021-07,3707
2021-08,3706
2021-09,4210
2021-10,3864
2021-11,3764
2021-12,5139
2022-01,4110
2022-02,3855
2022-03,3959
2022-04,3943
2022-05,4019
2022-06,4578
2022-07,3641
2022-08,4052
2022-09,4709
2022-10,3837
2022-11,4019
2022-12,5458
2023-01,4453
2023-02,3550
2023-03,4431
2023-04,3785
2023-05,4049
2023-06,4997
2023-07,3905
2023-08,4189
2023-09,4525
2023-10,4433
2023-11,4784
2023-12,6451
2024-01,4956
2024-02,4515
2024-03,4778
2024-04,4490
2024-05,5146
2024-06,5425
2024-07,4626
2024-08,4294
2024-09,4432
2024-10,5258
2024-11,5017
2024-12,6567
2025-01,4132
2025-02,2806
