Date,Planificación Estratégica
1987-12,165
1988-01,441
1988-02,83
1988-03,193
1988-04,111
1988-05,115
1988-06,142
1988-07,137
1988-08,89
1988-09,155
1988-10,130
1988-11,112
1988-12,267
1989-01,564
1989-02,99
1989-03,218
1989-04,139
1989-05,141
1989-06,177
1989-07,153
1989-08,117
1989-09,202
1989-10,122
1989-11,105
1989-12,289
1990-01,537
1990-02,107
1990-03,250
1990-04,156
1990-05,155
1990-06,199
1990-07,158
1990-08,105
1990-09,241
1990-10,187
1990-11,123
1990-12,217
1991-01,589
1991-02,107
1991-03,250
1991-04,191
1991-05,164
1991-06,204
1991-07,170
1991-08,98
1991-09,231
1991-10,191
1991-11,130
1991-12,200
1992-01,512
1992-02,141
1992-03,267
1992-04,193
1992-05,199
1992-06,241
1992-07,228
1992-08,140
1992-09,261
1992-10,197
1992-11,125
1992-12,272
1993-01,515
1993-02,180
1993-03,274
1993-04,255
1993-05,197
1993-06,270
1993-07,203
1993-08,172
1993-09,281
1993-10,243
1993-11,144
1993-12,277
1994-01,635
1994-02,212
1994-03,297
1994-04,203
1994-05,183
1994-06,254
1994-07,207
1994-08,187
1994-09,324
1994-10,261
1994-11,162
1994-12,259
1995-01,692
1995-02,211
1995-03,327
1995-04,221
1995-05,242
1995-06,293
1995-07,255
1995-08,206
1995-09,340
1995-10,293
1995-11,207
1995-12,325
1996-01,683
1996-02,195
1996-03,441
1996-04,266
1996-05,246
1996-06,342
1996-07,276
1996-08,244
1996-09,344
1996-10,325
1996-11,239
1996-12,389
1997-01,671
1997-02,281
1997-03,442
1997-04,313
1997-05,265
1997-06,429
1997-07,305
1997-08,263
1997-09,353
1997-10,279
1997-11,307
1997-12,435
1998-01,793
1998-02,230
1998-03,461
1998-04,352
1998-05,293
1998-06,405
1998-07,362
1998-08,278
1998-09,448
1998-10,260
1998-11,306
1998-12,433
1999-01,736
1999-02,262
1999-03,538
1999-04,328
1999-05,334
1999-06,403
1999-07,350
1999-08,287
1999-09,430
1999-10,299
1999-11,305
1999-12,441
2000-01,897
2000-02,249
2000-03,466
2000-04,445
2000-05,328
2000-06,436
2000-07,384
2000-08,361
2000-09,579
2000-10,408
2000-11,281
2000-12,498
2001-01,867
2001-02,279
2001-03,561
2001-04,455
2001-05,432
2001-06,553
2001-07,403
2001-08,398
2001-09,495
2001-10,459
2001-11,301
2001-12,664
2002-01,1016
2002-02,321
2002-03,497
2002-04,541
2002-05,423
2002-06,445
2002-07,374
2002-08,381
2002-09,589
2002-10,441
2002-11,409
2002-12,624
2003-01,953
2003-02,481
2003-03,544
2003-04,453
2003-05,402
2003-06,519
2003-07,421
2003-08,470
2003-09,655
2003-10,529
2003-11,450
2003-12,709
2004-01,873
2004-02,421
2004-03,650
2004-04,570
2004-05,450
2004-06,679
2004-07,634
2004-08,563
2004-09,583
2004-10,612
2004-11,473
2004-12,719
2005-01,1006
2005-02,412
2005-03,594
2005-04,529
2005-05,491
2005-06,710
2005-07,528
2005-08,574
2005-09,663
2005-10,594
2005-11,557
2005-12,697
2006-01,1177
2006-02,444
2006-03,707
2006-04,784
2006-05,617
2006-06,773
2006-07,734
2006-08,610
2006-09,755
2006-10,853
2006-11,655
2006-12,736
2007-01,1113
2007-02,550
2007-03,916
2007-04,729
2007-05,848
2007-06,1062
2007-07,790
2007-08,942
2007-09,832
2007-10,998
2007-11,838
2007-12,1199
2008-01,1203
2008-02,626
2008-03,872
2008-04,853
2008-05,802
2008-06,1181
2008-07,890
2008-08,699
2008-09,1311
2008-10,1229
2008-11,882
2008-12,1384
2009-01,1209
2009-02,825
2009-03,945
2009-04,909
2009-05,755
2009-06,1090
2009-07,924
2009-08,883
2009-09,1440
2009-10,1105
2009-11,883
2009-12,1180
2010-01,1552
2010-02,748
2010-03,1129
2010-04,1128
2010-05,1086
2010-06,1199
2010-07,1105
2010-08,1286
2010-09,1155
2010-10,1502
2010-11,1140
2010-12,1270
2011-01,1605
2011-02,922
2011-03,1200
2011-04,1025
2011-05,1254
2011-06,1383
2011-07,1062
2011-08,1834
2011-09,1483
2011-10,1259
2011-11,1166
2011-12,1479
2012-01,2732
2012-02,998
2012-03,1398
2012-04,1164
2012-05,1375
2012-06,1527
2012-07,1611
2012-08,1257
2012-09,1838
2012-10,1505
2012-11,1701
2012-12,1656
2013-01,2140
2013-02,1025
2013-03,1415
2013-04,1286
2013-05,1505
2013-06,1716
2013-07,1549
2013-08,1127
2013-09,1733
2013-10,2090
2013-11,1556
2013-12,1791
2014-01,2345
2014-02,1194
2014-03,1539
2014-04,1654
2014-05,1639
2014-06,1698
2014-07,1686
2014-08,1499
2014-09,2133
2014-10,2364
2014-11,1786
2014-12,2139
2015-01,2394
2015-02,1407
2015-03,1908
2015-04,1711
2015-05,1851
2015-06,2019
2015-07,1836
2015-08,1770
2015-09,1988
2015-10,2563
2015-11,1831
2015-12,2428
2016-01,2560
2016-02,1755
2016-03,2113
2016-04,2505
2016-05,2101
2016-06,2587
2016-07,2068
2016-08,1956
2016-09,2470
2016-10,2537
2016-11,2317
2016-12,2917
2017-01,2358
2017-02,1920
2017-03,2523
2017-04,2095
2017-05,2416
2017-06,2514
2017-07,2754
2017-08,2496
2017-09,3211
2017-10,2788
2017-11,2888
2017-12,2942
2018-01,2736
2018-02,2217
2018-03,2724
2018-04,2531
2018-05,2861
2018-06,2970
2018-07,2990
2018-08,3123
2018-09,3322
2018-10,3578
2018-11,2656
2018-12,3509
2019-01,3142
2019-02,2340
2019-03,3123
2019-04,2861
2019-05,3166
2019-06,3394
2019-07,3096
2019-08,3326
2019-09,3191
2019-10,3414
2019-11,3645
2019-12,4030
2020-01,3310
2020-02,2682
2020-03,3407
2020-04,2978
2020-05,2873
2020-06,3652
2020-07,3426
2020-08,3372
2020-09,3802
2020-10,4037
2020-11,3921
2020-12,5487
2021-01,3745
2021-02,3029
2021-03,3836
2021-04,3443
2021-05,3376
2021-06,3852
2021-07,3447
2021-08,3987
2021-09,3765
2021-10,3835
2021-11,3671
2021-12,4865
2022-01,3944
2022-02,3002
2022-03,3703
2022-04,3437
2022-05,3621
2022-06,4507
2022-07,3484
2022-08,4097
2022-09,4225
2022-10,4149
2022-11,3825
2022-12,5547
2023-01,3902
2023-02,3158
2023-03,4328
2023-04,3552
2023-05,3894
2023-06,4830
2023-07,3952
2023-08,4098
2023-09,4500
2023-10,4559
2023-11,4378
2023-12,5904
2024-01,4597
2024-02,3797
2024-03,4360
2024-04,4364
2024-05,4887
2024-06,5103
2024-07,4838
2024-08,4854
2024-09,4784
2024-10,5208
2024-11,4831
2024-12,5882
2025-01,4322
2025-02,2891
