Date,Optimización de Precios
1987-12,96
1988-01,191
1988-02,50
1988-03,71
1988-04,66
1988-05,50
1988-06,112
1988-07,65
1988-08,66
1988-09,84
1988-10,60
1988-11,58
1988-12,78
1989-01,319
1989-02,41
1989-03,92
1989-04,82
1989-05,66
1989-06,116
1989-07,86
1989-08,64
1989-09,129
1989-10,64
1989-11,62
1989-12,81
1990-01,308
1990-02,54
1990-03,112
1990-04,60
1990-05,84
1990-06,78
1990-07,117
1990-08,90
1990-09,122
1990-10,78
1990-11,58
1990-12,107
1991-01,256
1991-02,66
1991-03,102
1991-04,86
1991-05,90
1991-06,118
1991-07,93
1991-08,70
1991-09,157
1991-10,106
1991-11,108
1991-12,109
1992-01,277
1992-02,70
1992-03,132
1992-04,84
1992-05,104
1992-06,149
1992-07,91
1992-08,225
1992-09,174
1992-10,84
1992-11,94
1992-12,103
1993-01,253
1993-02,92
1993-03,144
1993-04,100
1993-05,104
1993-06,151
1993-07,116
1993-08,95
1993-09,246
1993-10,91
1993-11,87
1993-12,131
1994-01,344
1994-02,90
1994-03,132
1994-04,111
1994-05,97
1994-06,126
1994-07,112
1994-08,251
1994-09,174
1994-10,111
1994-11,73
1994-12,134
1995-01,342
1995-02,114
1995-03,130
1995-04,120
1995-05,145
1995-06,167
1995-07,137
1995-08,96
1995-09,200
1995-10,106
1995-11,123
1995-12,136
1996-01,369
1996-02,117
1996-03,151
1996-04,153
1996-05,139
1996-06,176
1996-07,119
1996-08,310
1996-09,181
1996-10,129
1996-11,171
1996-12,168
1997-01,302
1997-02,115
1997-03,149
1997-04,118
1997-05,184
1997-06,205
1997-07,136
1997-08,141
1997-09,246
1997-10,150
1997-11,146
1997-12,172
1998-01,368
1998-02,104
1998-03,202
1998-04,138
1998-05,124
1998-06,200
1998-07,166
1998-08,364
1998-09,218
1998-10,129
1998-11,159
1998-12,134
1999-01,339
1999-02,137
1999-03,199
1999-04,141
1999-05,157
1999-06,173
1999-07,170
1999-08,138
1999-09,197
1999-10,122
1999-11,185
1999-12,163
2000-01,399
2000-02,123
2000-03,189
2000-04,192
2000-05,180
2000-06,153
2000-07,180
2000-08,133
2000-09,370
2000-10,145
2000-11,184
2000-12,173
2001-01,434
2001-02,171
2001-03,230
2001-04,135
2001-05,176
2001-06,220
2001-07,169
2001-08,161
2001-09,212
2001-10,202
2001-11,227
2001-12,208
2002-01,499
2002-02,141
2002-03,194
2002-04,157
2002-05,186
2002-06,203
2002-07,195
2002-08,167
2002-09,473
2002-10,173
2002-11,156
2002-12,265
2003-01,546
2003-02,173
2003-03,303
2003-04,198
2003-05,200
2003-06,253
2003-07,194
2003-08,162
2003-09,316
2003-10,257
2003-11,176
2003-12,310
2004-01,504
2004-02,196
2004-03,295
2004-04,249
2004-05,227
2004-06,314
2004-07,288
2004-08,527
2004-09,333
2004-10,244
2004-11,197
2004-12,312
2005-01,721
2005-02,218
2005-03,298
2005-04,310
2005-05,310
2005-06,331
2005-07,232
2005-08,229
2005-09,264
2005-10,280
2005-11,280
2005-12,237
2006-01,757
2006-02,214
2006-03,337
2006-04,285
2006-05,353
2006-06,437
2006-07,382
2006-08,340
2006-09,637
2006-10,480
2006-11,382
2006-12,421
2007-01,645
2007-02,275
2007-03,376
2007-04,459
2007-05,494
2007-06,538
2007-07,459
2007-08,504
2007-09,522
2007-10,408
2007-11,404
2007-12,527
2008-01,724
2008-02,380
2008-03,470
2008-04,476
2008-05,554
2008-06,764
2008-07,564
2008-08,403
2008-09,733
2008-10,682
2008-11,525
2008-12,742
2009-01,802
2009-02,385
2009-03,583
2009-04,692
2009-05,522
2009-06,745
2009-07,659
2009-08,533
2009-09,750
2009-10,706
2009-11,578
2009-12,735
2010-01,963
2010-02,440
2010-03,527
2010-04,519
2010-05,661
2010-06,981
2010-07,1269
2010-08,831
2010-09,681
2010-10,798
2010-11,764
2010-12,824
2011-01,1289
2011-02,572
2011-03,622
2011-04,782
2011-05,894
2011-06,827
2011-07,796
2011-08,857
2011-09,1002
2011-10,848
2011-11,738
2011-12,865
2012-01,1616
2012-02,611
2012-03,779
2012-04,650
2012-05,827
2012-06,1060
2012-07,862
2012-08,691
2012-09,1265
2012-10,881
2012-11,1032
2012-12,1131
2013-01,998
2013-02,620
2013-03,754
2013-04,841
2013-05,835
2013-06,1053
2013-07,957
2013-08,961
2013-09,1074
2013-10,1101
2013-11,989
2013-12,1146
2014-01,1183
2014-02,745
2014-03,902
2014-04,816
2014-05,972
2014-06,1167
2014-07,1118
2014-08,1019
2014-09,1163
2014-10,1227
2014-11,968
2014-12,1147
2015-01,1114
2015-02,669
2015-03,895
2015-04,792
2015-05,973
2015-06,1127
2015-07,977
2015-08,977
2015-09,1154
2015-10,1219
2015-11,1059
2015-12,1185
2016-01,1167
2016-02,817
2016-03,1187
2016-04,904
2016-05,966
2016-06,1155
2016-07,1088
2016-08,1054
2016-09,1416
2016-10,1281
2016-11,1193
2016-12,1235
2017-01,1120
2017-02,760
2017-03,994
2017-04,981
2017-05,1254
2017-06,1357
2017-07,1309
2017-08,1200
2017-09,1269
2017-10,1352
2017-11,1342
